Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/companies/personalCreditCards/rewardsProgram/rewardProgramInfo;rewardProgramInfo;Informações de Termos e condições do programa de fidelidade/recompensa. Pode ser informada a URL referente ao endereço onde constam as condições informadas. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Condicional;\w*\W*;;0;1;"Caso o campo ""hasRewardProgram""  indique que há programa de recompensa (VERDADEIRO), a informação de termos e condições deve ser preenchida"
openBankingBrazil/<brand>/companies/personalCreditCards/fees/;;Objeto que reúne informações de tarifas de serviços;Objeto;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/;;Lista das Tarifas cobradas sobre Serviço relacionadas a Modalidade de Pagamento Pós-Pagas;Lista;;;;;1;9;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/name;name;Lista de denominação de Serviços relacionados à Modalidade de Contas de Pagamento Pós-Pagas, para pessoa natural (Vide Enum);Texto;;Obrigatório;;"ANUIDADE_CARTAO_BASICO_NACIONAL
ANUIDADE_CARTAO_BASICO_INTERNACIONAL
ANUIDADE_DIFERENCIADA
UTILIZACAO_CANAIS_ATENDIMENTO_RETIRADA_ESPECIE_BRASIL
UTILIZACAO_CANAIS_ATENDIMENTO_RETIRADA_ESPECIE_EXTERIOR
AVALIACAO_EMERGENCIAL_CREDITO
FORNECIMENTO_SEGUNDA_VIA_FUNCAO_CREDITO 
PAGAMENTO_CONTAS_UTILIZANDO_FUNCAO_CREDITO
SMS";1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/code;code;"Sigla de identificação do Serviço relacionado à Modalidade de Contas de Pagamento Pós-Pagas para pessoa natural informada. (Vide Enum)
";Texto;;Obrigatório;;"ANUIDADE_NACIONAL
ANUIDADE_INTERNACIONAL
ANUIDADE_DIFERENCIADA
SAQUE_CARTAO_BRASIL
SAQUE_CARTAO_EXTERIOR
AVALIACAO_EMERGENCIAL_CREDITO
EMISSAO_SEGUNDA_VIA
TARIFA_PAGAMENTO_CONTAS
SMS";1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/chargingTriggerInfo;chargingTriggerInfo;Fatos geradores de cobrança que incidem sobre as Modalidades de  Contas de Pagamento Pós-Pagas informada, para pessoa natural. Conforme serviços prioritários previstos na resolução 3919.;Texto;2000;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/prices/;;Lista distribuição preços tarifas de serviços;Lista;;;;;4;4;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/prices/interval;interval;Segundo Normativa nº 32, BCB, de 2020: Distribuição de frequência relativa dos valores de tarifas cobradas dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana em cada uma dessas faixas. Informando: 1ª faixa, 2ª faixa, 3ª faixa  e 4ª faixa;Texto;;Obrigatório;;"1_FAIXA_VALOR
2_FAIXA_VALOR
3_FAIXA_VALOR
4_FAIXA_VALOR";1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/prices/value;value;"Valor da mediana de cada faixa relativa ao serviço ofertado, informado no período, conforme Res nº 32 BCB, 2020. p.ex. '45.00'
(representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '.' (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/prices/currency;currency;Moeda referente ao valor da Tarifa, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/prices/customers/rate;rate;"Percentual dos clientes de cada faixa relativa ao serviço ofertado, para pessoa natural informado no período, conforme Res nº32, BCB, 2020. p.ex. '0.1500'
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"(^[0-9](\.[0-9]{4})$|^NA$)
";;1;1;A precisão da apuração pode prever até 4 casas decimais 
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/minimum/value;value;Valor mínimo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/minimum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/maximum/value;value;Valor máximo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/fees/services/maximum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/rates/;;Lista da representação que traz o conjunto de informações necessárias para demonstrar a distribuição de frequência das taxas de juros remuneratórios para crédito rotativo;Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/rates/referentialRateIndexer;referentialRateIndexer;Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040, que incide sobre a utilização do crédito rotativo;Texto;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
POS_FIXADO_TR_TBF
POS_FIXADO_TJLP
POS_FIXADO_LIBOR
POS_FIXADO_TLP
OUTRAS_TAXAS_POS_FIXADAS
FLUTUANTES_CDI
FLUTUANTES_SELIC
OUTRAS_TAXAS_FLUTUANTES
INDICES_PRECOS_IGPM
INDICES_PRECOS_IPCA
INDICES_PRECOS_IPCC
OUTROS_INDICES_PRECO
CREDITO_RURAL_TCR_PRE
CREDITO_RURAL_TCR_POS
CREDITO_RURAL_TRFC_PRE
CREDITO_RURAL_TRFC_POS
OUTROS_INDEXADORES";1;1;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/rates/rate;rate;"Percentual que incide sobre a composição das taxas de juros remuneratórios pela utilização do crédito rotativo. 
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;4;Obrigatório;"^((\d{1,9}\.\d{2}){1}|NA)$
";;1;1;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/rates/applications/;;Lista distribuição percentuais relativos à taxa de juros remuneratórios;Lista;;;;;4;4;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/rates/applications/interval;interval;"Faixas para cobrança da taxa nominal mensal aplicada pela contratação do crédito rotativo, no intervalo informado: 1ª faixa, 2ª faixa, 3ª faixa e 4ª faixa. Segundo Normativa nº32 de 2020: 'Distribuição de frequência relativa dos valores de tarifas e taxas de juros cobrados dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas. 
 ";Texto;;Obrigatório;;"1_FAIXA
2_FAIXA
3_FAIXA
4_FAIXA";1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/rates/applications/indexer/rate;rate;"Percentual que corresponde a mediana (taxa nominal mensal)  cobrada do cliente pela utilização do crédito rotativo, no intervalo informado. p.ex. '0,8700%'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/rates/applications/customers/rate;rate;"Percentual de clientes nas faixas apurada.  p.ex. '0,8700'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;A precisão da apuração pode prever até 4 casas decimais 
openBankingBrazil/<brand>/companies/personalCreditCards/interest/rates/minimumRate;minimumRate;"Percentual mínimo cobrado (taxa nominal mensal) no mês de referência, pela utilização do crédito rotativo
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/rates/maximumRate;maximumRate;"Percentual máximo cobrado (taxa nominal mensal) no mês de referência, pela utilização do crédito rotativo
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRates/;;Lista da representação que traz o conjunto de informações necessárias para demonstrar a distribuição de frequência das taxas de juros remuneratórios para parcelamento do saldo devedor;Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRates/referentialRateIndexer;referentialRateIndexer;Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040 que incide sobre o parcelamento do saldo devedor;Texto;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
POS_FIXADO_TR_TBF
POS_FIXADO_TJLP
POS_FIXADO_LIBOR
POS_FIXADO_TLP
OUTRAS_TAXAS_POS_FIXADAS
FLUTUANTES_CDI
FLUTUANTES_SELIC
OUTRAS_TAXAS_FLUTUANTES
INDICES_PRECOS_IGPM
INDICES_PRECOS_IPCA
INDICES_PRECOS_IPCC
OUTROS_INDICES_PRECO
CREDITO_RURAL_TCR_PRE
CREDITO_RURAL_TCR_POS
CREDITO_RURAL_TRFC_PRE
CREDITO_RURAL_TRFC_POS
OUTROS_INDEXADORES";1;1;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRates/rate;rate;"Percentual que incide sobre a composição das taxas de juros remuneratórios  sobre o parcelamento do saldo devedor
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;4;Obrigatório;"^((\d{1,9}\.\d{2}){1}|NA)$
";;1;1;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRates/applications/;;Lista distribuição percentuais relativos à taxa de juros remuneratórios;Lista;;;;;4;4;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRates/applications/interval;interval;"Faixas para cobrança da taxa nominal mensal aplicada quando há parcelamento do saldo devedor, no intervalo informado: 1ª faixa, 2ª faixa, 3ª faixa  e 4ª faixa.  Segundo Normativa nº32 de 2020: 'Distribuição de frequência relativa dos valores de tarifas e taxas de juros cobrados dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas. 
";Texto;;Obrigatório;;"1_FAIXA 
2_FAIXA
3_FAIXA
4_FAIXA";1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRates/applications/indexer/rate;rate;"Percentual que corresponde a mediana (taxa nominal mensal) aplicada para pagamento parcelado do saldo devedor quando não realizado pagamento integral da fatura, no período informado. p.ex. '0,2580%'.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRates/applications/customers/rate;rate;"Percentual de clientes nas faixas apurada.  .  p.ex. '0,8700'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;A precisão da apuração pode prever até 4 casas decimais 
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRates/minimumRate;minimumRate;"Percentual mínimo cobrado (taxa nominal mensal) para o pagamento parcelado do saldo devedor na fatura do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRates/maximumRate;maximumRate;"Percentual máximo cobrado (taxa nominal mensal) para o pagamento parcelado do saldo devedor na fatura do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/otherCredits/;;Lista de outras operações de crédito;Lista;;;;;1;3;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/otherCredits/code;code;Lista de outras operações de crédito. p.ex. 'SAQUE_A_CREDITO';Texto;;Obrigatório;;"SAQUE_A_CREDITO
PAGAMENTOS_CONTAS
OUTROS ";1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/interest/otherCredits/additionalInfo;additionalInfo;Campo Texto para descrever outras operações de crédito marcadas como 'OUTROS';Texto;50;Condicional;\w*\W*;;0;1;Se o campo 'code' vier selecionado com 'OUTROS' é obrigatório o preenchimento do additonalInfo
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/minimumFeeRate;minimumFeeRate;"Percentual para pagamento mínimo sobre o saldo devedor da fatura. p.ex. '0.25, que representa 25%'
(representação de uma porcentagem Ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;4;Obrigatório;"^((\d{1,9}\.\d{2}){1}|NA)$
";;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/additionalInfo;additionalInfo;Campo aberto para detalhamento de taxas de juros. ;Texto;500;Opcional;\w*\W*;;0;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/elegibilityCriteriaInfo;elegibilityCriteriaInfo;Informação sobre as condições e critérios de elegibilidade do emissor do cartão. Pode ser informada a URL referente ao endereço onde constam as condições informadas. p.ex. 'https://example.com/mobile-banking';Texto;2000;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/closingProcessInfo;closingProcessInfo;Descrição dos procedimentos para encerramento da conta de pagamento pós paga. Pode ser informada a URL referente ao endereço onde constam as condições informadas. p.ex. 'https://example.com/mobile-banking';Texto;2000;Obrigatório;\w*\W*;;1;1;NA
