Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/prices/value;value;"Valor da mediana de cada faixa relativa ao serviço ofertado, informado no período, conforme Res nº 32 BCB, 2020. p.ex. '45.00'
(representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '.' (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/prices/currency;currency;Moeda referente ao valor da Tarifa, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/prices/customers/rate;rate;"Percentual dos clientes de cada faixa relativa ao serviço ofertado, para pessoa natural informado no período, conforme Res nº32, BCB, 2020. p.ex. '0.1500'
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"(^[0-9](\.[0-9]{4})$|^NA$)
";;1;1;A precisão da apuração pode prever até 4 casas decimais 
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/value;value;Valor mínimo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/value;value;Valor máximo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRates/;;Lista que traz o conjunto de informações necessárias para demonstrar a distribuição de frequência das taxas de juros remuneratórios da Modalidade de crédito ;Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRates/referentialRateIndexer;referentialRateIndexer;Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040;Texto;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
POS_FIXADO_TR_TBF
POS_FIXADO_TJLP
POS_FIXADO_LIBOR
POS_FIXADO_TLP
OUTRAS_TAXAS_POS_FIXADAS
FLUTUANTES_CDI
FLUTUANTES_SELIC
OUTRAS_TAXAS_FLUTUANTES
INDICES_PRECOS_IGPM
INDICES_PRECOS_IPCA
INDICES_PRECOS_IPCC
OUTROS_INDICES_PRECO
CREDITO_RURAL_TCR_PRE
CREDITO_RURAL_TCR_POS
CREDITO_RURAL_TRFC_PRE
CREDITO_RURAL_TRFC_POS
OUTROS_INDEXADORES";1;1;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRates/rate;rate;"Percentual do índice ou da taxa referencial que incide sobre a composição das taxas de juros remuneratórios. 
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;4;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRates/applications/;;Lista  das faixas de cobrança da taxa nominal mensal de remuneração;Lista;;;;;4;4;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRates/applications/interval;interval;Faixas para cobrança da taxa nominal mensal aplicada pela contratação do crédito, no intervalo informado: 1ª faixa, 2ª faixa, 3ª faixa e 4ª faixa. Segundo Normativa nº32 de 2020: 'Distribuição de frequência relativa dos valores de tarifas e taxas de juros cobrados dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas. ;Texto;;Obrigatório;;"1_FAIXA
2_FAIXA 
3_FAIXA 
4_FAIXA ";1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRates/applications/indexer/rate;rate;"Percentual que corresponde a mediana da taxa nominal mensal cobrada do cliente pela contratação do crédito, no intervalo informado. p.ex. '0,8700%'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"(^[0-9](\.[0-9]{4})$|^NA$)
";;1;1;A precisão da apuração pode prever até 4 casas decimais 
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRates/applications/customers/rate;rate;"Percentual de clientes nas faixas apurada. p.ex. '0,8700'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"(^[0-9](\.[0-9]{4})$|^NA$)
";;1;1;A precisão da apuração pode prever até 4 casas decimais 
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRates/minimumRate;minimumRate;"Percentual mínimo cobrado (taxa nominal mensal) no mês de referência, para o crédito contratado 
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"(^[0-9](\.[0-9]{4})$|^NA$)
";;1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRates/maximumRate;maximumRate;"Percentual máximo cobrado (taxa nominal mensal) no mês de referência, para o crédito contratado 
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"(^[0-9](\.[0-9]{4})$|^NA$)
";;1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/requiredWarranties;requiredWarranties;"Lista das garantias exigidas, segundo documento 3040 do Bacen: 
-cessão de direitos creditórios: o cedente transfere ao credor/cessionário a titularidade de direitos creditórios, até a liquidação da dívida. O credor/cessionário passa a recebê-los diretamente dos devedores e credita o produto da operação para o cedente na operação que originou a cessão, até a sua liquidação 
-caução: garantia instituída sobre créditos do garantidor 
-penhor: direito real que consiste na tradição de uma coisa móvel ou mobilizável, suscetível de alienação, realizada pelo devedor ou por terceiro ao credor, a fim de garantir o pagamento do débito 
-alienação fiduciária: transferência ao credor, ou fiduciário, da propriedade do bem 
-hipoteca: direito real de garantia que afeta um bem imóvel para o cumprimento da obrigação 
-operações garantidas pelo governo: nas instâncias federal, estadual ou municipal
-outras garantias não fidejussórias: as garantias reais não descritas como: cessão de direitos creditórios, caução, penhor, alienação fiduciária, hipoteca ou operação garantida pelo governo 
-seguros e assemelhados: os seguros (e assemelhados) contratados para garantir o pagamento da operação em circunstâncias adversas
-garantia fidejussória: baseada na fidelidade do garantidor em cumprir as obrigações, caso o devedor não o faça
-bens arrendados: bem objeto do arrendamento financeiro
-garantias internacionais: declarar se a garantia é mitigadora ou não, observados os critérios definidos pela Circular 3.644, de 4 de março de 2013 
-operações garantidas por outras entidade: declarar as garantias prestadas pelas entidades descritas no item 3. Informações de Garantias (i) do documento 3040 - Bacen 
-acordos de compensação: operações que sejam abrangidas por acordos para a compensação e liquidação de obrigações no âmbito do SFN, nos termos da Resolução 3.263, de 24 de fevereiro de 2005
-não aplicável
";Texto;;Obrigatório;;"CESSAO_DIREITOS_CREDITORIOS
CAUCAO
PENHOR
ALIENACAO_FIDUCIARIA
HIPOTECA
OPERACOES_GARANTIDAS_PELO_GOVERNO
OUTRAS_GARANTIAS_NAO_FIDEJUSSORIAS 
SEGUROS_ASSEMELHADOS
GARANTIA_FIDEJUSSORIA
BENS_ARRENDADOS
GARANTIAS_INTERNACIONAIS
OPERACOES_GARANTIDAS_OUTRAS_ENTIDADES
ACORDOS_COMPENSACAO
NAO_APLICAVEL
";1;14;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/termsConditions;termsConditions;Campo aberto para informar as condições contratuais relativas à Modalidade de Financiamentos para pessoa jurídica informada. Pode ser informada a URL referente ao endereço onde constam as condições informadas. Endereço eletrônico de acesso ao canal. ;Texto;2000;Obrigatório;\w*\W*;;1;1;NA
