Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<brand>/companies/businessAccounts/fees/services/prices/currency;currency;Moeda referente ao valor da Tarifa, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/fees/services/prices/customers/;;Traz informações do percentual de clientes apurado em cada faixa;Objeto;;;;;;;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/services/prices/customers/rate;rate;"Percentual dos clientes de cada faixa relativa ao serviço ofertado, para pessoa natural informado no período, conforme Res nº32 BCB, 2020. p.ex. '0.1500'
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;A precisão da apuração pode prever até 4 casas decimais ;
openBankingBrazil/<brand>/companies/businessAccounts/fees/services/minimum/value;value;Valor mínimo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$  ;;1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/fees/services/minimum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/fees/services/maximum/value;value;Valor máximo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$  ;;1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/fees/services/maximum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/;;Lista dos serviços que compõe o pacote de serviços;Lista;;;;;1;N;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/name;name;Nome do Pacote de Serviços disponibilizado pela instituição;Texto;250;Obrigatório;\w*\W*;;1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/;;Lista dos serviços que compõem o Pacote de Serviços;Lista;;;;;1;N;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/code;code;Código que identifica o Serviço que compõe o Pacote de Serviços;Texto;100;Obrigatório;\w*\W*;;1;N;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/chargingTriggerInfo;chargingTriggerInfo;"Fatos geradores de cobrança que incidem sobre serviço que compõe o Pacote de Serviços
";Texto;2000;Obrigatório;\w*\W*;;1;N;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/eventLimitQuantity;eventLimitQuantity;Segundo Resolução  4196, BCB, de 2013: Quantidade de eventos previstos no Pacote de Serviços (Número de eventos incluídos no mês) p.ex.'2'. No caso de quantidade ilimitada, reportar 999999;Texto;6;Obrigatório;^(\d{1,6}){1}$;;1;N;No caso de quantidade ilimitada, reportar 999999;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/freeEventQuantity;freeEventQuantity;Segundo Resolução  4196, BCB, de 2013: Quantidade de eventos previstos no Pacote de Serviços com isenção de Tarifa.p.ex.'1'  No caso de quantidade ilimitada, reportar 999999;Texto;6;Obrigatório;^(\d{1,6}){1}$;;1;N;No caso de quantidade ilimitada, reportar 999999;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/prices/;;Lista distribuição preços tarifas de serviços;Lista;;;;;4;4;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/prices/interval;interval;Segundo Normativa nº 32, BCB, de 2020: Distribuição de frequência relativa dos valores de tarifas cobradas dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana em cada uma dessas faixas. Informando: 1ª faixa , 2ª faixa, 3ª faixa e 4ª faixa ;Texto;;Obrigatório;;"1_FAIXA 
2_FAIXA 
3_FAIXA 
4_FAIXA ";1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/prices/monthlyFee;monthlyFee;"Valor da mediana de cada faixa relativa ao serviço ofertado, informado no período, conforme Res nº 32 BCB, 2020. p.ex. '45.00'
(representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '.' (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$  ;;1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/prices/currency;currency;Moeda referente ao valor da Tarifa, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/prices/customers/rate/;;Traz informações do percentual de clientes apurado em cada faixa;Objeto;;;;;;;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/prices/customers/rate;rate;"Percentual dos clientes de cada faixa relativa ao serviço ofertado, para pessoa natural informado no período, conforme Res nº32 BCB, 2020. p.ex. '0.1500'
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;(^[0-9](\.[0-9]{4})$|^NA$);;1;1;A precisão da apuração pode prever até 4 casas decimais ;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/minimum/value;value;Valor mínimo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$  ;;1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/minimum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/maximum/value;value;Valor máximo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$  ;;1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/maximum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/openingClosingChannels ;openingClosingChannels ;Lista dos Canais disponíveis para abertura e encerramento de contas. (Vide Enum);Texto;;Obrigatório;;"DEPENDENCIAS_PROPRIAS
CORRESPONDENTES_BANCARIOS
INTERNET_BANKING
MOBILE_BANKING
CENTRAL_TELEFONICA
CHAT
OUTROS";1;7;NA;
openBankingBrazil/<brand>/companies/businessAccounts/additionalInfo;additionalInfo;Texto livre para complementar informação relativa ao Canal disponível, quando no campo 'openingClosingChannels' estiver preenchida a opção 'OUTROS';Texto;100;Condicional;\w*\W*;;1;1;Campo de preenchimento obrigatório se 'openingCloseChannels' estiver preenchida a opção 'OUTROS';
openBankingBrazil/<brand>/companies/businessAccounts/transactionMethods  ;transactionMethods  ;Lista de formas de movimentação possíveis para a conta. (Vide Enum);Texto;;Obrigatório;;"MOVIMENTACAO_ELETRONICA 
MOVIMENTACAO_CHEQUE 
MOVIMENTACAO_CARTAO 
MOVIMENTACAO_PRESENCIAL";1;4;NA;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/;;Objeto que reúne informações relativas a Termos e Condições para as modalidades tratadas;Objeto;;;;;;;;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/minimumBalance/value;value;Saldo mínimo exigido nos Termos e condições contratuais, que regem as contas comercializadas. p.ex. '200.00';Texto;12;Obrigatório;^((\d{1,9}\.\d{2}){1}|NA)$  ;;1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/minimumBalance/currency;currency;Moeda referente ao saldo mínimo exigido, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;;Obrigatório;;moeda (ISO-4217);1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/elegibilityCriteriaInfo;elegibilityCriteriaInfo;Critérios de qualificação do cliente com a finalidade de definir sua elegibilidade para a aquisição do tipo de conta. Campo Aberto;Texto;2000;Obrigatório;\w*\W*;;1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/closingProcessInfo;closingProcessInfo;Procedimentos de encerramento para o tipo de conta tratado. Possibilidade de inscrição da URL. Endereço eletrônico de acesso ao canal. p.ex. 'https://example.com/mobile-banking';Texto;2000;Obrigatório;\w*\W*;;1;1;NA;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRate/savingAccount;savingAccount;Descrição da Remuneração especificamente para Conta de Poupança. Deve ser preenchido com a determinação legal vigente. p.ex. '70% da Taxa Selic (6,5%) = 4,55%, que é o atual rendimento anual da poupança. O rendimento mensal é de 0,3715';Texto;2000;Condicional;\w*\W*;;0;1;De preenchimento obrigatório para CONTA_POUPANCA;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRate/prepaidPaymentAccount;prepaidPaymentAccount;Campo Livre. Deve explicitar o Percentual em favor do titular da conta de pagamento pré-paga. P.ex. '40% de rendimento a.m.';Texto;2000;Condicional;\w*\W*;;0;1;De preenchimento obrigatório para Conta do Tipo CONTA_PAGAMENTO_PRE_PAGA ;
