Xpath,Nome,Definição,Tipo do Dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo Dado Json
data/dueDate,dueDate,Data de vencimento Final da operação. Especificação RFC-3339,Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,especificação RFC-3339,1,1,Não há restrição,,String
data/instalmentPeriodicity,instalmentPeriodicity,"Informação relativa à periodicidade regular das parcelas. (Vide Enum)
sem periodicidade regular, semanal, quinzenal, mensal, bimestral, trimestral, semestral, anual",Texto,24,Obrigatório,,"SEM_PERIODICIDADE_REGULAR
SEMANAL
QUINZENAL
MENSAL
BIMESTRAL
TRIMESTRAL
SEMESTRAL
ANUAL ",1,1,Não há restrição,,Enum
data/firstInstalmentDueDate,firstInstalmentDueDate,Data de vencimento primeira parcela do principal,Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,especificação RFC-3339,1,1,Não há restrição,,String
data/typeNumberOfInstalments,typeNumberOfInstalments,Tipo de prazo total do contrato referente à modalidade de crédito informada,Texto,,Obrigatório,,"DIA
SEMANA
MÊS
ANO",1,1,Não há restrição,,Enum
data/totalNumberOfInstalments,totalNumberOfInstalments,"Prazo Total segundo o tipo (dia, semana, mês, ano) referente à Modalidade de Crédito informada",Número,3,Obrigatório,,,1,1,Não há restrição,,Number
data/paidInstalments,paidInstalments,"Quantidade de prestações pagas. (No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero)",Número,3,Obrigatório,,,1,1,Não há restrição,,Number
data/cet,cet,"CET – Custo Efetivo Total deve ser expresso na forma de taxa percentual anual e incorpora todos os encargos e despesas incidentes nas operações de crédito (taxa de juro, mas também tarifas, tributos, seguros e outras despesas cobradas).
O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)",Número,19,Obrigatório,Incluir regex,,1,1,Não há restrição,,Number
data/amortizationSchedule,amortizationSchedule,"Sistema de amortização (Vide Domínio)
- SAC (Sistema de Amortização Constante - é aquele em que o valor da amortização permanece igual até o final. Os juros cobrados sobre o parcelamento não entram nesta conta)
- PRICE (Sistema Francês de Amortização - As parcelas são fixas do início ao fim do contrato. Ou seja, todas as parcelas terão o mesmo valor, desde a primeira até a última. Nos primeiros pagamentos, a maior parte do valor da prestação corresponde aos juros. Ao longo do tempo, a taxa de juros vai decrescendo. Como o valor da prestação é fixo, com o passar das parcelas, o valor de amortização vai aumentando)
- SAM - Sistema de Amortização Misto. Cada prestação (pagamento) é a média aritmética das prestações respectivas no Sistemas Price e no Sistema de Amortização Constante (SAC)
- SEM SISTEMA DE AMORTIZAÇÃO",Texto,25,Obrigatório,,"SAC 
PRICE
SAM
SEM_SISTEMA_AMORTIZACAO",1,1,Não há restrição,,Enum
data/interestRates/,,Objeto das taxas nominais para demonstrar a composição das taxas de juros remuneratórios da Modalidade de crédito ,Lista,,Obrigatório,,,1,N,Não há restrição,,Lista
data/interestRates/interestRateType,interestRateType,"Tipo de Juros (vide Enum)
- SIMPLES (aplicada/cobrada sempre sobre o capital inicial, que é o valor emprestado/investido. Não há cobrança de juros sobre juros acumulados no(s) período(s) anterior(es). Exemplo: em um empréstimo de R$1.000, com taxa de juros simples de 8% a.a., com duração de 2 anos, o total de juros será R$80 no primeiro ano e R$ 80 no segundo ano. Ao final do contrato, o tomador irá devolver o principal e os juros simples de cada ano: R$1.000+R$80+R$80=R$1.160)
- COMPOSTO (para cada período do contrato (diário, mensal, anual etc.), há um “novo capital” para a cobrança da taxa de juros contratada. Esse “novo capital” é a soma do capital e do juro cobrado no período anterior. Exemplo: em um empréstimo de R$1.000, com taxa de juros composta de 8% a.a., com duração de 2 anos, o total de juros será R$80 no primeiro ano. No segundo ano, os juros vão ser somados ao capital (R$1.000 + R$ 80 = R$ 1.080), resultando em juros de R$ 86 (8%de R$ 1.080))",Texto,10,Obrigatório,,"SIMPLES
COMPOSTO",1,1,Não há restrição,,Enum
data/interestRates/taxPeriodicity,taxPeriodicity,"Periodicidade da taxa . (Vide Enum)
a.m - ao mês
a.a. - ao ano",Texto,2,Obrigatório,,"AM
AA",1,1,Não há restrição,,Enum
data/interestRates/calculation,calculation,"Base de cálculo (Vide Domínio)
- 21/252
- 30/360
- 30/365",Texto,6,Obrigatório,,"21/252
30/360
30/365",1,1,Não há restrição,,String
data/interestRates/referentialRateIndexerType,referentialRateIndexerType,"Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040",Texto,20,Obrigatório,,"SEM_SUB_TIPO_INDEXADOR
PRE_FIXADO
POS_FIXADO
FLUTUANTES
INDICES_PRECOS
CREDITO_RURAL
OUTROS_INDEXADORES",1,1,Não há restrição,,Enum
data/interestRates/referentialRateIndexerSubType,referentialRateIndexerSubType,"Sub tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040",Texto,25,Obrigatório,,"SEM_SUB_TIPO_INDEXADOR
PRE_FIXADO
TR_TBF
TJLP
LIBOR
TLP
OUTRAS_TAXAS_POS_FIXADAS
CDI
SELIC
OUTRAS_TAXAS_FLUTUANTES
IGPM
IPCA
IPCC
OUTROS_INDICES_PRECO
TCR_PRE
TCR_POS
TRFC_PRE
TRFC_POS
OUTROS_INDEXADORES",1,1,Não há restrição,,Enum
data/interestRates/referentialRateIndexerAdditionalInfo,referentialRateIndexerAdditionalInfo,"Campo livre de preenchimento obrigatório para complementar a informação relativa ao Tipo de taxa referencial ou indexador, quando selecionados o tipo ou subtipo OUTRO",Texto,140,Condicional,\w*\W*,,0,1,"Preenchimento obrigatório para complementar a informação relativa
a taxa ou indexador, quando selecionado o tipo ou subtiipo OUTRO",,String
data/interestRates/preFixedRate,preFixedRate,"Taxa pré fixada aplicada sob o contrato da modalidade crédito (quando é pactuada no momento em que você fecha o contrato seja de empréstimo ou de uma aplicação financeira)
p.ex. 0.0045. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)",Número,19,Obrigatório,,,1,1,Não há restrição,,Number
data/interestRates/postFixedRate,postFixedRate,"Taxa pós fixada aplicada sob o contrato da modalidade crédito (quando você só conhece o retorno no final da operação/aplicação)
p.ex. 0.0045 .O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)",Número,19,Obrigatório,,,1,1,Aceita nulo,aceita null,Number
data/interestRates/additionalInfo,additionalInfo,"Texto com informações adicionais sobre a composição das taxas de
juros pactuadas",Texto,1200,Obrigatório,,,1,1,Não há restrição,,String
data/contractedFees/,,Lista que traz a relação de tarifas pactuadas no contrato,Lista,,Obrigatório,,,0,N,,,Lista
data/contractedFees/feeName,feeName,Denominação da Tarifa pactuada no contrato,Texto,140,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/contractedFees/feeCode,feeCode,Sigla identificadora da tarifa pactuada no contrato,Texto,140,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/contractedFees/feeChargeType,feeChargeType,"Tipo de cobrança para a tarifa pactuada no contrato. (Vide Domínio)
Única 
Por Parcela",Texto,10,Obrigatório,,"UNICA
POR_PARCELA",1,1,Não há restrição,,Enum
data/contractedFees/feeCharge,feeCharge,"Forma de cobrança relativa a tarifa pactuada no contrato. (Vide Enum)
Mínimo
Máximo
Fixo
Percentual",Texto,10,Obrigatório,,"MINIMO
MAXIMO
FIXO
PERCENTUAL",1,1,Não há restrição,,Enum
data/contractedFees/feeAmount,feeAmount,"Valor monetário da tarifa pactuada no contrato. Preenchimento obrigatório quando a forma de cobrança for: Mínimo, Máximo ou Fixo",Número,19,Condicional,,,0,1,"Preenchimento obrigatório quando a forma de cobrança selecionada for: Mínimo, Máximo ou Fixo",,Double
data/contractedFees/feeRate,feeRate,"É o valor da tarifa em percentual pactuada no contrato. Preenchimento obrigatório quando a forma de cobrança for Percentual. Exemplo: 0.0150 = 1,5%. Deve-se informar 4 casas decimais, mesmo que preenchidas com zeros. Exemplo: 0.2000.",Número,19,Condicional,,,0,1,Não há restrição,,Number
data/contractedFinanceCharges/,,Lista que traz os encargos pactuados no contrato,Lista,,Obrigatório,,,0,N,,,Lista
data/contractedFinanceCharges/chargeType,chargeType,Tipo de encargo pactuado no contrato. (Vide Domínio) ,Texto,30,Obrigatório,,"JUROS_REMUNERATORIOS_POR_ATRASO
MULTA_ATRASO_PAGAMENTO
JUROS_MORA_ATRASO
IOF_CONTRATACAO
IOF_POR_ATRASO
OUTROS",1,1,Não há restrição,,Enum
data/contractedFinanceCharges/chargeAdditionalInfo,chargeAdditionalInfo,Campo de preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de encargo pactuado no contrato,Texto,140,Condicional,\w*\W*,,0,1,Preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de Encargo,,String
data/contractedFinanceCharges/chargeRate,chargeRate,Representa o valor do encargo em percentual pactuado no contrato. Exemplo: 0.0210 (=2.1%). Deve-se preencher as 4 casas decimais obrigatoriamente.,Número,19,Obrigatório,,,1,1,Não há restrição,,Number
