Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/dueDate;dueDate;Data de vencimento Final da operação. Especificação RFC-3339;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/instalmentPeriodicity;instalmentPeriodicity;"Informação relativa à periodicidade regular das parcelas. (Vide Enum)
sem periodicidade regular, semanal, quinzenal, mensal, trimestral, semestral, anual";Enum;;Obrigatório; ;"SEM_PERIODICIDADE_REGULAR
SEMANAL
QUINZENAL
MENSAL
BIMESTRAL
TRIMESTRAL
SEMESTRAL
ANUAL ";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/firstInstalmentDueDate;firstInstalmentDueDate;Data de vencimento primeira parcela do principal;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/totalNumberOfInstalments;totalNumberOfInstalments;Prazo Total em meses do contrato referente à Modalidade de Crédito informada;Número;3;Obrigatório;;;1;1;Não há restrição;;Number;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/paidInstalments;paidInstalments;Quantidade de prestações pagas. (No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero);Número;3;Obrigatório;;;1;1;Não há restrição;;Number;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/cet;cet;"CET – Custo Efetivo Total deve ser expresso na forma de taxa percentual anual e   incorpora todos os encargos e despesas incidentes nas operações de crédito (taxa de juro, mas também tarifas, tributos, seguros e outras despesas cobradas).
O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Número;19;Obrigatório;;;1;1;Não há restrição;;Number;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/amortizationSchedule;amortizationSchedule;"Sistema de amortização (Vide Enum)
- SAC (Sistema de Amortização Constante -   é aquele em que o valor da amortização permanece igual até o final. Os juros  cobrados sobre o parcelamento não entram nesta conta)
- PRICE (Sistema Francês de Amortização - As parcelas são fixas do início ao fim do contrato. Ou seja, todas as parcelas terão o mesmo valor, desde a primeira até a última. Nos primeiros pagamentos, a maior parte do valor da prestação corresponde aos juros. Ao longo do tempo, a taxa de juros vai decrescendo. Como o valor da prestação é fixo, com o passar das parcelas, o valor de amortização vai aumentando)
- SAM (Sociedade de arrendamento mercantil) - realiza arrendamento de bens móveis e imóveis adquiridos por ela, segundo as especificações da arrendatária (cliente), para fins de uso próprio desta. Assim, os contratantes deste serviço podem usufruir de determinado bem sem serem proprietários dele. As operações de arrendamento mercantil podem ser divididas em duas modalidades: leasing financeiro e leasing operacional. A diferença básica é que no leasing financeiro o prazo é usualmente maior e o arrendatário tem a possibilidade de adquirir o bem por um valor pré-estabelecido. Ao final do contrato, o arrendatário tem as opções de efetivar a aquisição do bem arrendado ou devolvê-lo. Ao final do leasing financeiro, em geral o cliente já terá pago a maior parte do valor do bem, não sendo a devolução, embora possível, financeiramente vantajosa)
- SEM SISTEMA DE AMORTIZAÇÃO";Enum;;Obrigatório;;"SAC 
PRICE
SAM
SEM_SISTEMA_AMORTIZACAO";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/;;Objeto que traz o conjunto de informações necessárias para demonstrar a composição das taxas de juros remuneratórios  da Modalidade de crédito ;Objeto;;Obrigatório;;;1;N;Não há restrição;;Objeto;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/taxType;taxType;"Tipo de Taxa (vide  Enum)
- NOMINAL (taxa nominal é uma taxa de juros em que a unidade referencial não coincide com a unidade de tempo da capitalização. Ela é sempre fornecida em termos anuais, e seus períodos de capitalização podem ser diários, mensais, trimestrais ou semestrais. p.ex. Uma taxa de 12% ao ano com capitalização mensal)
- EFETIVA (É a taxa de juros em que a unidade referencial coincide com a unidade de tempo da capitalização. Como as unidades de medida de tempo da taxa de juros e dos períodos de capitalização são iguais, usa-se exemplos simples como 1% ao mês, 60% ao ano)";Enum;;Obrigatório;;"NOMINAL
EFETIVA";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/interestRateType;interestRateType;"Tipo de Juros  (vide  Enum)
- SIMPLES (aplicada/cobrada sempre sobre o capital inicial, que é o valor emprestado/investido. Não há cobrança de juros sobre juros acumulados no(s) período(s) anterior(es). Exemplo: em um empréstimo de R$1.000, com taxa de juros simples de 8% a.a., com duração de 2 anos, o total de juros será R$80 no primeiro ano e R$ 80 no segundo ano. Ao final do contrato, o tomador irá devolver o principal e os juros simples de cada ano: R$1.000+R$80+R$80=R$1.160)
- COMPOSTO (para cada período do contrato (diário, mensal, anual etc.), há um “novo capital” para a cobrança da taxa de juros contratada. Esse “novo capital” é a soma do capital e do juro cobrado no período anterior. Exemplo: em um empréstimo de R$1.000, com taxa de juros composta de 8% a.a., com duração de 2 anos, o total de juros será R$80 no primeiro ano. No segundo ano, os juros vão ser somados ao capital (R$1.000 + R$ 80 = R$ 1.080), resultando em juros de R$ 86 (8%de R$ 1.080))";Enum;;Obrigatório;;"SIMPLES
COMPOSTO";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/taxPeriodicity;taxPeriodicity;"Periodicidade da taxa . (Vide  Enum)
a.m - ao mês
a.a. - ao ano";Enum;;Obrigatório;;"AM
AA";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/calculation;calculation;" Base de cálculo (Vide Enum)
- 1.21/25
- 2.30/360
- 3.30/365";Enum;;Obrigatório;;" 1.21/25
2.30/360
3.30/365";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/referentialRateIndexerType;referentialRateIndexerType;Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040;Enum;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
POS_FIXADO
FLUTUANTES
INDICES_PRECOS
CREDITO_RURAL
OUTROS_INDEXADORES";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/referentialRateIndexerSubType;referentialRateIndexerSubType;Sub tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040;Enum;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
TR_TBF
TJLP
LIBOR
TLP
OUTRAS_TAXAS_POS_FIXADAS
CDI
SELIC
OUTRAS_TAXAS_FLUTUANTES
IGPM
IPCA
IPCC
OUTROS_INDICES_PRECO
TCR_PRE
TCR_POS
TRFC_PRE
TRFC_POS
OUTROS_INDEXADORES";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/referentialRateIndexerAdditionalInfo;referentialRateIndexerAdditionalInfo;Campo livre de preenchimento obrigatório para complementar a informação relativa ao Tipo de taxa referencial ou indexador, quando selecionados o tipo ou subtipo OUTRO;Texto;140;Condicional;\w*\W*;;0;1;"Preenchimento obrigatório para complementar a informação relativa
a taxa ou indexador, quando selecionado o tipo ou subtiipo  OUTRO";;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/preFixedRate;preFixedRate;"Taxa pré fixada aplicada sob o contrato da modalidade crédito (quando é pactuada no momento em que você fecha o contrato seja de empréstimo ou de uma aplicação financeira)
p.ex. 0.0045. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Número;19;Obrigatório;;;1;1;Não há restrição;;Number;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/postFixedRate;postFixedRate;"Taxa pós fixada aplicada sob o contrato da modalidade crédito (quando você só conhece o retorno no final da operação/aplicação)
p.ex. 0.0045 .O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Número;19;Obrigatório;;;1;1;Não há restrição;;Number;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/interestRates/additionalInfo;additionalInfo;"Texto com informações adicionais sobre a composição das taxas de
 juros pactuadas";Texto;1200;Obrigatório;;;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFees/;;Lista que traz a relação de tarifas pactuadas no contrato;Lista;;Obrigatório;;;1;N;;;Lista;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFees/feeName;feeName;Denominação da Tarifa pactuada no contrato;Texto;140;Obrigatório;\w*\W*;;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFees/feeCode;feeCode;Sigla identificadora da tarifa pactuada no contrato;Texto;140;Obrigatório;\w*\W*;;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFees/feeChargeType;feeChargeType;"Tipo de cobrança para a tarifa pactuada no contrato. (Vide Enum)
Única 
Por Parcela";Enum;;Obrigatório;;"UNICA
POR_PARCELA";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFees/feeCharge;feeCharge;"Forma de cobrança relativa a tarifa pactuada no contrato. (Vide Enum)
Mínimo
Máximo
Fixo
Percentual Cardinalidade de (1-N)";Enum;;Obrigatório;;"MINIMO
MAXIMO
FIXO
PERCENTUAL_CARDINALIDADE_1_N";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFees/feeAmount;feeAmount;Valor monetário da tarifa pactuada no contrato. Preenchimento obrigatório quando a forma de cobrança for: Mínimo, Máximo ou Fixo;Número;19;Condicional;;;0;1;Preenchimento obrigatório quando a forma de cobrança selecionada for: Mínimo, Máximo ou Fixo;;Number;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFees/feeRate;feeRate;Percentual que representa o valor da tarifa pactuada para o contrato. Preenchimento obrigatório quando a forma de cobrança for Percentual;Número;19;Condicional;;;0;1;Não há restrição;;Number;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFinanceCharges/;;Lista que traz os encargos pactuados no contrato;Lista;;Obrigatório;;;1;N;;;Lista;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFinanceCharges/chargeType;chargeType;Tipo de encargo pactuado no contrato. (Vide Enum) ;Enum;;Obrigatório;;"JUROS_REMUNERATORIOS_POR_ATRASO
MULTA_ATRASO_PAGAMENTO
JUROS_MORA_ATRASO
IOF_CONTRATACAO
IOF_POR_ATRASO
OUTROS";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFinanceCharges/chargeAdditionalInfo;chargeAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de encargo pactuado no contrato;Texto;;Condicional;\w*\W*;;0;1;Preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de Encargo;;String;;;;;;;;;;;;;;;;;;;;;
data/<unarrangedAccountOverdraf>/contract/contractedFinanceCharges/chargeRate;chargeRate;Percentual que representa o valor do encargo pactuado no contrato. Preenchimento obrigatório quando a forma de cobrança for: Mínimo, Máximo ou Fixo;Número;19;Condicional;;;0;1;Preenchimento obrigatório quando a forma de cobrança selecionada for: Mínimo, Máximo ou Fixo;;Number;;;;;;;;;;;;;;;;;;;;;
