Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/companies/personalCreditCards/rewardsProgram/rewardProgramInfo;rewardProgramInfo;Informações de Termos e condições do programa de fidelidade/recompensa. Pode ser informada a URL referente ao endereço onde constam as condições informadas. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Opcional;\w*\W*;;0;1;"Caso o campo ""hasRewardProgram""  indique que há programa de recompensa (Verdadeiro), a informação de termos e condições deve ser preenchida";;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/name;name;Lista de denominação de Serviços relacionados à Modalidade de Contas de Pagmento Pós-Pagas, para pessoa física (Vide Enum);Texto;;Mandatório;;"ANUIDADE
SAQUE_CARTAO_BRASIL
SAQUE_CARTAO_EXTERIOR
AVALIACAO_EMERGENCIAL_CREDITO
EMISSAO_SEGUNDA_VIA
TARIFA_PAGAMENTO_CONTAS
SMS";1;7;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/code;code;"Sigla de identificação do Serviço relacionado à Modalidade de Contas de Pagamento Pós-Pagas para pessoa física informada.
(conforme serviços prioritários previstos na resolução 3919)";Texto;30;Mandatório;;;1;7;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/chargingTriggerInfo;chargingTriggerInfo;Fatos geradores de cobrança que incidem sobre as Modalidades de de Contas de Pagamento Pós-Pagas informada, para pessoa física. Conforme serviços prioritários previstos na resolução 3919. ;Texto;2000;Mandatório;\w*\W*;;1;7;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/prices/interval;interval;Faixas para cobrança de valores de tarifas por Serviço informado, sobre a base de clientes, no mês de referência: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/prices/value;value;"Valor da mediana da tarifa cobrada, relativa ao Serviço, para o tipo de faixa informada. p.ex. 45.00
(representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o ' '. (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;4;4;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/prices/currency;currency;Moeda referente ao valor da Tarifa do Serviço, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;;moeda (ISO-4217);4;4;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/minimum/value;value;Valor mínimo cobrado para a tarifa de Serviço  no mês de referência;Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa de Serviço , segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;;moeda (ISO-4217);1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/maximum/value;value;Valor máximo cobrado para a tarifa de Serviço  no mês de referência;Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/service/maximum/currency;currency;Moeda referente ao valor máximo da tarifa de Serviço, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;;moeda (ISO-4217);1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/feeRate/prices/interval;interval;Faixas para cobrança da taxa efetiva pela utilização do crédito rotativo, no intervalo informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/feeRate/prices/rate;rate;"Percentual que corresponde a mediana (taxa efetiva) cobrada do cliente pela utilização do crédito rotativo, no intervalo informado. p.ex. '9,8700%'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, emso que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;4;4;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/feeRate/minimumRate;minimumRate;"Percentual mínimo cobrado (taxa efetiva) no mês de referência, pela utilização do crédito rotativo
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/feeRate/maximumRate;maximumRate;"Percentual máximo cobrado (taxa efetiva) no mês de referência, pela utilização do crédito rotativo
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRate/prices/interval;interval;Faixas para cobrança da taxa efetiva quando há parcelamento do saldo devedor, no intervalo informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRate/prices/rate;rate;"Percentual que corresponde a mediana (taxa efetiva) aplicada para pagamento parcelado do saldo devedor quando não realizado pagamento integral da fatura, no período informado. p.ex. '4,10%'.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;4;4;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRate/minimumRate;minimumRate;"Percentual mínimo cobrado (taxa efetiva) para o pagamento parcelado do saldo devedor na fatura do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/instalmentRate/maximumRate;maximumRate;"Percentual máximo cobrado (taxa efetiva) para o pagamento parcelado do saldo devedor na fatura do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/interestRates/code;code;Lista de outras operações de crédito. p.ex. 'saque a crédito';Texto;;Mandatório;;"SAQUE_A_CREDITO
PAGAMENTOS_CONTAS
OUTROS ";1;N;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/interestRates/additionalInfo;additionalInfo;Campo Texto para descrever outras operações de crédito marcadas como 'Outros';Texto;50;Opcional;\w*\W*;;0;1;Se o campo 'code' vier selecionado com 'Outros' é obrigatório o preenchimento do additonalInfo;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/interestRates/prices/interval;interval;Faixas para cobrança da taxa efetiva outras operações de crédito, no intervalo informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/interestRates/prices/rate;rate;"Percentual que corresponde a mediana (taxa efetiva) aplicada para  outras operações de crédito, no período informado. p.ex. '4,1000%'.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;4;4;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/interestRates/minimum/rate;rate;"Percentual mínimo cobrado (taxa efetiva) para  outras operações de crédito do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/interest/interestRates/maximum/rate;rate;"Percentual máximo cobrado (taxa efetiva) para  outras operações de crédito do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/minimumFeeRate;minimumFeeRate;"Percentual para pagamento mínimo sobre o saldo devedor da fatura. p.ex. '25,00%'
(representação de uma porcentagem Ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/additionalInfo;additionalInfo;Campo aberto para detalhamento de taxas de juros;Texto;500;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/elegibilityCriteriaInfo;elegibilityCriteriaInfo;Informação sobre as condições e critérios de elegibilidade do emissor do cartão. Pode ser informada a URL referente ao endereço onde constam as condições informadas. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/closingProcessInfo;closingProcessInfo;Descrição dos procedimentos para encerramento da conta pós paga. Pode ser informada a URL referente ao endereço onde constam as condições informadas. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Mandatório;\w*\W*;;1;1;NA;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
