Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<Brand>/Branches/PostalAdress/CountrySubDivision;CountrySubDivision;"A sigla da unidade da federação identifica o estado
no qual o endereço está localizado. Ex. SP.
Deve-se considerar apenas as siglas para os estados brasileiros.";Texto;2;Mandatório;[A-Z]{2};;1;1;N/A;
openBankingBrazil/<Brand>/Branches/PostalAdress/PostCode;PostCode;Código de Endereçamento Postal: Composto por um conjunto numérico de oito dígitos, o objetivo principal do CEP é orientar e acelerar o encaminhamento, o tratamento e a entrega de objetos postados nos Correios, por meio da sua atribuição a localidades, logradouros, unidades dos Correios, serviços, órgãos públicos, empresas e edifícios. Ex. '01311-000';"Texto
Número";8;Mandatório;(\d{5})-(\d{3});;1;1;N/A;
openBankingBrazil/<Brand>/Branches/Availability/Standard/Weekday;Weekday;Em formato texto, seguindo o domínio apresentado, devem ser colocados os dias da semana.;Texto;13;Mandatório;(Domingo)|(Segunda-feira)|(Terça-feira)|(Quarta-feira)|(Quinta-feira)|(Sexta-feira)|(Sábado);"Segunda-Feira
Terça-Feira
Quarta-Feira
Quinta-Feira
Sexta-Feira";1;1;N/A;
openBankingBrazil/<Brand>/Branches/Availability/Standard/OpeningTime;OpeningTime;"Horário padrão de início de atendimento da Dependência.
O horário deve estar no formato 24hs (00:00 - 23:59).";Texto;7;Mandatório;^([0|1|2]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1})$;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/Availability/Standard/ClosingTime;ClosingTime;"Horário padrão de encerramento de atendimento da 
Dependência.
O horário deve estar no formato 24hs (00:00 - 23:59).";Texto;7;Mandatório;^([0|1|2]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1})$;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/Availability/ExceptionNonAvailableDays;ExceptionNonAvailableDays;"Em campo texto devem ser registradas todas as Exceções para o não atendimento. Por exceções deve-se entender ""dias padrão (standard) em que não haverá atendimento"". Ex. 'Exceto feriados municipais, nacionais e 
estaduais'.";Texto;2000;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/Availability/ExceptionAvailableDays;ExceptionAvailableDays;Em campo texto devem ser registrados os dias em que haverá uma exceção à regra para atendimento, como, por exemplo, a abertura de alguma dependência aos sábados ou feriados. Por exemplo. 'Sábado, 20/06/2020 das 10:00hs às 14:00hs';Texto;2000;Mandatório;;;1;1;N/A;
openBankingBrazil/<Brand>/Branches/Availability/PhoneDDD;PhoneDDD;"Número de DDD (Discagem Direta à Distância) do telefone da 
dependência - se houver. Ex. '19'";Número;3;Opcional;([0-9]{1,3});;0;N;Se houver um número de telefone obrigatoriamente devemos ter um DDD.;
openBankingBrazil/<Brand>/Branches/Availability/PhoneNumber;PhoneNumber;Número de telefone da dependência - se houver;Texto;10;Opcional;([0-9]{4,5})-([0-9]{4});;0;N;N/A;
openBankingBrazil/Branch/ServiceAndFacility/Services;Services;Serviços prestados pela dependência consultada;Texto;55;Mandatório;\w*\W*;"Abertura de contas
Recebimentos, pagamentos e transferências eletrônicas
Recebimentos e pagamentos de qualquer natureza
Operações de crédito
Cartão de crédito
Operações de câmbio
Investimentos
Seguros";1;8;N/A;
openBankingBrazil/Branch/ServiceAndFacility/Detail;Detail;Campo de texto livre para descrever mais sobre os serviços;Texto;2000;Opcional;\w*\W*;;0;1;N/A;
;;;;;;;;;;;
