Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json
data/transactions/transactionType;transactionType;"Traz os tipos de Transação: (Vide Enum)
Pagamento; Tarifa; Operações de crédito contratadas no cartão; Estorno; Cashback; Outros";Texto;35;Obrigatório;;"PAGAMENTO
TARIFA
OPERACOES_CREDITO_CONTRATADAS_CARTAO
ESTORNO
CASHBACK
OUTROS";1;1;Não há restrição;;Enum
data/transactions/transactionAdditionalInfo;transactionAdditionalInfo;"Campo livre; de preenchimento obrigatório quando selecionado tipo de transação 'OUTROS'";Texto;140;Obrigatório;;;0;1;"Preenchimento 
obrigatório quando selecionado tipo de transação 'OUTROS'";;String
data/transactions/paymentType;paymentType;"Traz os tipos de Pagamento: (Vide Enum)
A_VISTA
A_PRAZO";Texto;7;Obrigatório;;"A_VISTA
A_PRAZO";0;1;Preenchimento obrigatório se selecionado tipo de transação: PAGAMENTO;;Enum
data/transactions/feeType;feeType;"Traz os tipos de Tarifas: (Vide Enum)
Anuidade; Saque com cartão no Brasil; Saque com cartão no exterior; Avaliação emergencial de crédito; Emissão segunda via; Tarifa pagamento de contas; SMS; OUTRA";Texto;29;Obrigatório;;"ANUIDADE
SAQUE_CARTAO_BRASIL
SAQUE_CARTAO_EXTERIOR
AVALIACAO_EMERGENCIAL_CREDITO
EMISSAO_SEGUNDA_VIA
TARIFA_PAGAMENTO_CONTAS
SMS
OUTRA";0;1;"Seleção obrigatória
se Tipo de Transação selecionada for 'TARIFA' ";;Enum
data/transactions/feeTypeAdditionalInfo;feeTypeAdditionalInfo;"Campo livre; de preenchimento obrigatório quando selecionada tipo de tarifa 'OUTRA'";Texto;140;Obrigatório;;;0;1;"Preenchimento 
obrigatório quando selecionado tipo de tarifa 'OUTRA'";;String
data/transactions/otherCreditsType;otherCreditsType;"Traz outros tipos de crédito contratados no cartão. Vide Enum
Crédito rotativo; Parcelamento de fatura; Empréstimo; Outros";Texto;18;Obrigatório;;"CREDITO_ROTATIVO
PARCELAMENTO_FATURA
EMPRESTIMO
OUTROS";0;1;"Preenchimento 
obrigatório se o tipo transação selecionado for 'OPERACOES_CREDITO
_CONTRATADAS_CARTAO'";;Enum
data/transactions/otherCreditsAdditionalInfo;otherCreditsAdditionalInfo;"Campo livre; de preenchimento obrigatório quando selecionado tipo de crédito 'OUTROS'";Texto;140;Obrigatório;;;0;1;"Preenchimento 
obrigatório quando selecionado tipo de crédito 'OUTROS'";;String
data/transactions/chargeIdentificator;chargeIdentificator;Identificador da parcela que está sendo informada. Campo de livre preenchimento;Texto;50;Obrigatório;"^[a-zA-Z0-9][a-zA-Z0-9\-]{0;99}$ ";;1;1;Não há restrição;;String
data/transactions/chargeNumber;chargeNumber;Quantidade de parcelas ;Número;2;Obrigatório;;;1;1;"Informar valor '1' para
compras sem parcelamento; >1 para compras com parcelamento";Aceita nulo;Integer
data/transactions/brazilianAmount;brazilianAmount;"Valor da transação expresso em valor monetário com 4 casas decimais; em moeda corrente do Brasil";Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;Não há restrição;Aceita nulo;Double
data/transactions/amount;amount;Valor da transação efetuada no exterior e convertida em moeda nacional com 4 casas decimais. Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;Não há restrição;Aceita nulo;Double
data/transactions/currency;currency;"Moeda referente ao valor da transação; se a operação foi efetuada em moeda estrangeira; segundo modelo ISO-4217.
Todos os valores informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;moeda (ISO-4217);1;1;Não há restrição;;String
data/transactions/transactionDate;transactionDate;Data original da transação ;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$^NA$;;1;1;Não há restrição;;String
data/transactions/billPostDate;billPostDate;Data em que a transação foi inserida na fatura;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$|^NA$;;1;1;Não há restrição;;String
data/transactions/payeeMCC;payeeMCC;"O MCC ou o código da categoria do estabelecimento comercial. Os MCCs são agrupados segundo suas similaridades. O MCC é usado para classificar o negócio pelo tipo fornecido de bens ou serviços. Os MCCs são atribuídos por tipo de comerciante (por exemplo; um para hotéis; um para lojas de materiais de escritório; etc.) ou por nome de comerciante (por exemplo; 3000 para a United Airlines).";Número;4;Obrigatório;;;0;1;De preenchimento obrigatório para tipo de transação 'PAGAMENTO';Aceita nulo;Integer
