Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;
data/<bankBorrowing>/payments/feeName;feeName;Denominação da Tarifa avulsa ;Texto;140;Condicional;\w*\W*;;0;1;"Preenchimento 
obrigatório 
se selecionado tipo de pagamento 'TARIFA_AVULSA""";;Texto;
data/<bankBorrowing>/payments/feeCode;feeCode;Sigla identificadora da tarifa avulsa;Texto;140;Condicional;;;0;1;"Preenchimento obrigatório 
se selecionado tipo de pagamento 'TARIFA_AVULSA""";;Texto;
data/<bankBorrowing>/payments/financeChargeType;financeChargeType;Tipo de encargo avulso (Vide Enum) ;Enum;;Condicional;;"JUROS_REMUNERATORIOS_POR_ATRASO
MULTA_ATRASO_PAGAMENTO
JUROS_MORA_ATRASO
IOF_CONTRATACAO
OUTROS";0;1;"Seleção obrigatória se 
Tipo de pagamento selecionado for 'ENCARGO_AVULSO'";;Enum;
data/<bankBorrowing>/payments/financeChargeAdditionalInfo;financeChargeAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de encargo avulso;Texto;;Condicional;\w*\W*;;0;1;Preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de Encargo;;Texto;
data/<bankBorrowing>/payments/completedPayment/;;Lista que traz as datas de vencimento e o valor monetário do pagamento do contrato da modalidade de crédito consultada;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista;
data/<bankBorrowing>/payments/completedPayment/paymentDate;paymentDate;Traz as datas de vencimento do pagamento do contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;Texto;
data/<bankBorrowing>/payments/completedPayment/dueAmount;dueAmount;Traz o valor do pagamento do contrato da modalidade de crédito consultada. Expresso em valor monetário com 2 casas decimais;Número;12;Obrigatório;;;1;1;Não há restrição;;Texto;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
