Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/dueDate;dueDate;Data de vencimento Final da operação. Especificação RFC-3339;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/instalmentPeriodicity;instalmentPeriodicity;"Informação relativa à periodicidade regular das parcelas. (Vide Enum)
mensal, trimestral, semestral, anual";Enum;;Obrigatório; ;"SEMANAL
QUINZENAL
MENSAL
BIMESTRAL
TRIMESTRAL
SEMESTRAL
ANUAL ";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/dueFirstInstalmentDate;dueFirstInstalmentDate;Data de vencimento primeira parcela;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;especificação RFC-3339;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/totalNumberOfInstalments;totalNumberOfInstalments;Prazo Total em meses do contrato referente à Modalidade de Crédito informada;Número;3;Obrigatório;;;1;1;Não há restrição;;Número;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/;;Objeto que traz o conjunto de informações necessárias para demonstrar a composição das taxas de juros remuneratórios, do CET e do sistema de Amortização da Modalidade de crédito ;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/referentialRateIndexerType;referentialRateIndexerType;Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040;Enum;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
POS_FIXADO_TR_TBF
POS_FIXADO_TJLP
POS_FIXADO_LIBOR
POS_FIXADO_TLP
OUTRAS_TAXAS_POS_FIXADAS
FLUTUANTES_CDI
FLUTUANTES_SELIC
OUTRAS_TAXAS_FLUTUANTES
INDICES_PRECOS_IGPM
INDICES_PRECOS_IPCA
INDICES_PRECOS_IPCC
OUTROS_INDICES_PRECO
CREDITO_RURAL_TCR_PRE
CREDITO_RURAL_TCR_POS
CREDITO_RURAL_TRFC_PRE
CREDITO_RURAL_TRFC_POS
OUTROS_INDEXADORES";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/referentialRateIndexerAdditionalInfo;referentialRateIndexerAdditionalInfo;Campo livre de preenchimento obrigatório para complementar a informação relativa ao Tipo de taxa referencial ou indexador, quando selecionada o tipo ou subtipo OUTRO;Texto;140;Condicional;\w*\W*;;0;1;"Preenchimento obrigatório para complementar a informação relativa
a taxa ou indexador, quando selecionado o tipo ou subtiipo  OUTRO";;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/preFixedRate;preFixedRate;"Taxa pré fixada aplicada sob o contrato da modalidade crédito. 
p.ex. 0.0045. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"(^[0-9](\.[0-9]{4})$|^NA$)
";;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/postFixedRate;postFixedRate;"Taxa pós fixada aplicada sob o contrato da modalidade crédito. 
p.ex. 0.0045 .O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"(^[0-9](\.[0-9]{4})$|^NA$)
";;1;1;Não há restrição;;Não há restrição;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/taxPeriodicity;taxPeriodicity;"Periodicidade da taxa . (Vide  Enum)
a.m - ao mês
a.a. - ao ano";Enum;;Obrigatório;;"AM
AA";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/interestRateType;interestRateType;"Tipo de Juros  (vide  Enum)
- SIMPLES
- COMPOSTO";Enum;;Obrigatório;;"SIMPLES
COMPOSTO";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/calculation;calculation;" Base de cálculo (Vide Enum)
- 1.21/25
- 2.30/360
- 3.30/365";Enum;;Obrigatório;;" 1.21/25
2.30/360
3.30/365";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/additionalInfo;additionalInfo;"Texto com informações adicionais sobre a composição das taxas de
 juros pactuadas";Texto;1200;Obrigatório;;;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/taxType;taxType;"Tipo de Taxa (vide  Enum)
- NOMINAL
- EFETIVA";Enum;;Obrigatório;;"NOMINAL
EFETIVA";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/CET;CET;"CET – Custo Efetivo Total deve ser expresso na forma de taxa percentual anual e   incorpora todos os encargos e despesas incidentes nas operações de crédito (taxa de juro, mas também tarifas, tributos, seguros e outras despesas cobradas).
O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"(^[0-9](\.[0-9]{4})$|^NA$)
";;1;1;Não há restrição;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/interestRates/amortizationSchedule;amortizationSchedule;"Sistema de amortização (Vide Enum)
- SAC 
- PRICE
- SAM";;;Obrigatório;;"SAC 
PRICE
SAM";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/feeName;feeName;Denominação da Tarifa avulsa ;Texto;140;Condicional;\w*\W*;;0;1;"Preenchimento obrigatório 
se selecionado tipo de pagamento 'TARIFA_AVULSA'";;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/feeCode;feeCode;Sigla identificadora da tarifa avulsa;Texto;140;Condicional;;;0;1;"Preenchimento obrigatório 
se selecionado tipo de pagamento 'TARIFA_AVULSA'";;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/financeChargeType;financeChargeType;Tipo de encargo avulso (Vide Enum) ;Enum;;Obrigatório;;"JUROS_REMUNERATORIOS_POR_ATRASO
MULTA_ATRASO_PAGAMENTO
JUROS_MORA_ATRASO
IOF_CONTRATACAO
OUTROS";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/financeChargeAdditionalInfo;financeChargeAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de encargo avulso;Texto;;Condicional;\w*\W*;;0;1;Preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de Encargo;;Texto;;;;;;;;;;;;;;;;;;;;;
data/<bankBorrowing>/contract/cnpjGuarantor;cnpjGuarantor;CNPJ do consignante (CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica). Deve-se ter apenas os números do CNPJ, sem máscara. Informação adicional específica para Modalidade de Crédito: Empréstimo-Crédito Pessoal Consignado;Texto;14;Condicional;\d{14}|;;0;1;"Preenchimento 
obrigatório se Modaldiade de crédito for Empréstimo_Crédito Pessoal Consignado";;Texto;;;;;;;;;;;;;;;;;;;;;
