Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo  Dado
Jason"
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/geographicCoordinates/latitude;latitude;Informação da Latitude referente a geolocalização informada. Entre -90 e 90.p.ex. '-90.8365180'. ;Texto;13;Opcional;^-?\d{1,2}\.\d{1,9}$;;0;1;Entre -90 e 90.p.ex. '-90.8365180'. (2 casas antes da vírgula, 11 posições) ;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/postalAddresses/geographicCoordinates/longitude;longitude;Informação da Longitude referente a geolocalização informada. Entre -180 e 180. p.ex. '-180.836519.' ;Texto;13;Opcional;^-?\d{1,3}\.\d{1,8}$;;0;1;Entre -180 e 180. p.ex. '-180.836519.' (3 casas antes da vírgula, 11 posições) ;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/phones/;;Lista com telefones de contato da pessoa natural;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/personalCustomers/identification/contacts/phones/isMain;isMain;Indica se o telefone informado é o principal;Booleano;;Obrigatório;;"true
false";1;1;Só deve ser preenchido true para uma ocorrência de Principal;;Booleano
data/<brand>/companies/personalCustomers/identification/contacts/phones/type;type;Identificação do Tipo de telefone do cliente. (Vide Enum);Enum;;Obrigatório;;"FIXO
MOVEL
OUTRO";1;1;Não há restrição;;Enum
data/<brand>/companies/personalCustomers/identification/contacts/phones/additionalInfo;additionalInfo;Informação complementar relativa ao tipo de telefone selecionado. De preenchimento obrigatório quando selecionado o tipo 'OUTRO';Texto;70;Condicional;\w*\W*;;0;1;De preenchimento obrigatório quando selecionado o tipo 'OUTRO';;Texto
data/<brand>/companies/personalCustomers/identification/contacts/phones/countryCallingCode;countryCallingCode;Número de ddi (Discagem Direta Internacional) para  telefone de acesso ao Cliente- se houver. p.ex. '55';Texto;4;Obrigatório;^\d{1,4}$|^NA$;;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/phones/areaCode;areaCode;Número de ddd (Discagem Direta à Distância) do telefone do cliente - se houver. p.ex. '19';Enum;;Obrigatório;;11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 53, 54, 55, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 73, 74, 75, 77, 79, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99, NA;1;1;Não há restrição;;Enum
data/<brand>/companies/personalCustomers/identification/contacts/phones/number;number;Número de telefone do cliente ;Texto;11;Obrigatório;^([0-9]{8,11});;1;1;Não há restrição;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/phones/phoneExtension;phoneExtension;Número do ramal. De preenchimento obrigatório se fizer parte da identificação do número do telefone informado;Texto;5;Condicional;^\d{1,5}$|^NA$;;0;1;De preenchimento obrigatório se fizer parte da identificação do número do telefone informado;;Texto
data/<brand>/companies/personalCustomers/identification/contacts/emails/;;Lista e-mails de contato;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/<brand>/companies/personalCustomers/identification/contacts/emails/isMain;isMain;Indica se o e-mail informado é o principal;Booleano;;Obrigatório;;"true
false";1;1;Só deve ser preenchido true para uma ocorrência de Principal;;Booleano
data/<brand>/companies/personalCustomers/identification/contacts/emails/email;email;Endereço de e-mail;Texto;320;Obrigatório;\w*\W*;;1;1;Não há restrição;;Texto
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
