Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/companies/businessCreditCards/rewardsProgram/rewardProgramInfo;rewardProgramInfo;Informações de Termos e condições do programa de fidelidade/recompensa. Pode ser informada a URL referente ao endereço onde constam as condições informadas. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Opcional;\w*\W*;;0;1;"Caso o campo ""hasRewardProgram""  indique que há programa de recompensa (VERDADEIRO), a informação de termos e condições deve ser preenchida"
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/name;name;Denominação de Serviços relacionados à Modalidade de Contas de Pagmento Pós-Pagas, para pessoa jurídica (Vide ENUM);Texto;;Obrigatório;;"ANUIDADE_CARTAO_BASICO_NACIONAL
ANUIDADE_CARTAO_BASICO_INTERNACIONAL
UTILIZACAO_CANAIS_ATENDIMENTO_RETIRADA_ESPECIE_BRASIL
UTILIZACAO_CANAIS_ATENDIMENTO_RETIRADA_ESPECIE_EXTERIOR
AVALIACAO_EMERGENCIAL_CREDITO
FORNECIMENTO_SEGUNDA_VIA_FUNCAO_CREDITO 
PAGAMENTO_CONTAS_UTILIZANDO_FUNCAO_CREDITO
SMS";1;8;NA
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/code;code;"Sigla de identificação do Serviço relacionado à Modalidade de Contas de Pagamento Pós-Pagas para pessoa jurídica informada( (Vide ENUM)
";Texto;;Obrigatório;;"ANUIDADE_NACIONAL
ANUIDADE_INTERNACIONAL
SAQUE_CARTAO_BRASIL
SAQUE_CARTAO_EXTERIOR
AVALIACAO_EMERGENCIAL_CREDITO
EMISSAO_SEGUNDA_VIA
TARIFA_PAGAMENTO_CONTAS
SMS";1;8;NA
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/chargingTriggerInfo;chargingTriggerInfo;Fatos geradores de cobrança que incidem sobre as Modalidades de Contas de Pagamento Pós-Pagas informada, para pessoa jurídica. (Campo Livre) ;Texto;2000;Obrigatório;\w*\W*;;1;N;NA
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/prices/interval;interval;Segundo Normativa nº32 de 2020: Distribuição de frequência relativa dos valores de tarifas e taxas de juros cobrados dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas. Informado:1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;;Obrigatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/prices/value;value;"Valor da mediana da tarifa, relativa ao serviço ofertado, para pessoa natural informado no período, conforme Res nº32 BCB, 2020. p.ex. '45.00'
(representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '.' (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Obrigatório;^(\d{1,9}\.\d{2}){1}$;;4;4;NA
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/prices/currency;currency;Moeda referente ao valor da Tarifa do Serviço, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);4;4;NA
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/minimum/value;value;Valor mínimo cobrado para a tarifa de Serviço  no mês de referência;Texto;12;Obrigatório;^(\d{1,9}\.\d{2}){1}$;;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa de Serviço , segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/maximum/value;value;Valor máximo cobrado para a tarifa de Serviço  no mês de referência;Texto;12;Obrigatório;^(\d{1,9}\.\d{2}){1}$;;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/fees/service/maximum/currency;currency;Moeda referente ao valor máximo da tarifa de Serviço, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/feeRate/fees/referentialRateOrIndexer;referentialRateOrIndexer;Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040, que incide sobre a utilização do crédito rotativo;Texto;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
POS_FIXADO_TR_TBF
POS_FIXADO_TJLP
POS_FIXADO_LIBOR
POS_FIXADO_TLP
OUTRAS_TAXAS_POS_FIXADAS
FLUTUANTES_CDI
FLUTUANTES_SELIC
OUTRAS_TAXAS_FLUTUANTES
INDICES_PRECOS_IGPM
INDICES_PRECOS_IPCA
INDICES_PRECOS_IPCC
OUTROS_INDICES_PRECO
CREDITO_RURAL_TCR_PRE
CREDITO_RURAL_TCR_POS
CREDITO_RURAL_TRFC_PRE
CREDITO_RURAL_TRFC_POS
OUTROS_INDEXADORES";1;N;
openBankingBrazil/<brand>/companies/businessCreditCards/interest/feeRate/fees/rate;rate;"Percentual que incide sobre a composição das taxas de juros remuneratórios pela utilização do crédito rotativo. 
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;4;Obrigatório;"^[0-9](\.[0-9]{2})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 2 casas decimais, permitindo ser preenchida com NA";;1;N;
openBankingBrazil/<brand>/companies/businessCreditCards/interest/feeRate/prices/interval;interval;"Faixas para cobrança da taxa efetiva pela utilização do crédito rotativo, no intervalo informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes
Segundo Normativa nº32 de 2020: 'Distribuição de frequência relativa dos valores de tarifas e taxas de juros cobrados dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas. ";Texto;;Obrigatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/feeRate/prices/rate;rate;"Percentual que corresponde a mediana (taxa efetiva) cobrada do cliente pela utilização do crédito rotativo, no intervalo informado. p.ex. '9,8700%'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, emso que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;4;4;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/feeRate/minimumRate;minimumRate;"Percentual mínimo cobrado (taxa efetiva) no mês de referência, pela utilização do crédito rotativo
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/feeRate/maximumRate;maximumRate;"Percentual máximo cobrado (taxa efetiva) no mês de referência, pela utilização do crédito rotativo
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/instalmentRate/fees/referentialRateOrIndexer;referentialRateOrIndexer;Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040 que incide sobre o parcelamento do saldo devedor;Texto;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
POS_FIXADO_TR_TBF
POS_FIXADO_TJLP
POS_FIXADO_LIBOR
POS_FIXADO_TLP
OUTRAS_TAXAS_POS_FIXADAS
FLUTUANTES_CDI
FLUTUANTES_SELIC
OUTRAS_TAXAS_FLUTUANTES
INDICES_PRECOS_IGPM
INDICES_PRECOS_IPCA
INDICES_PRECOS_IPCC
OUTROS_INDICES_PRECO
CREDITO_RURAL_TCR_PRE
CREDITO_RURAL_TCR_POS
CREDITO_RURAL_TRFC_PRE
CREDITO_RURAL_TRFC_POS
OUTROS_INDEXADORES";1;N;
openBankingBrazil/<brand>/companies/businessCreditCards/interest/instalmentRate/fees/rate;rate;"Percentual que incide sobre a composição das taxas de juros remuneratórios  sobre o parcelamento do saldo devedor
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;4;Obrigatório;"^[0-9](\.[0-9]{2})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 2 casas decimais, permitindo ser preenchida com NA";;1;N;
openBankingBrazil/<brand>/companies/businessCreditCards/interest/instalmentRate/prices/interval;interval;"Faixas para cobrança da taxa efetiva quando há parcelamento do saldo devedor, no intervalo informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes
Segundo Normativa nº32 de 2020: 'Distribuição de frequência relativa dos valores de tarifas e taxas de juros cobrados dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas. ";Texto;;Obrigatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/instalmentRate/prices/rate;rate;"Percentual que corresponde a mediana (taxa efetiva) aplicada para pagamento parcelado do saldo devedor quando não realizado pagamento integral da fatura, no período informado. p.ex. '4,1000%'.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;4;4;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/instalmentRate/minimumRate;minimumRate;"Percentual mínimo cobrado (taxa efetiva) para o pagamento parcelado do saldo devedor na fatura do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/instalmentRate/maximumRate;maximumRate;"Percentual máximo cobrado (taxa efetiva) para o pagamento parcelado do saldo devedor na fatura do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/interestRates/code;code;Lista de outras operações de crédito. p.ex. 'SAQUE_A_CREDITO';Texto;;Obrigatório;;"SAQUE_A_CREDITO
PAGAMENTOS_CONTAS
OUTROS ";1;N;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/interestRates/additionalInfo;additionalInfo;Campo Texto para descrever outras operações de crédito marcadas como 'OUTROS';Texto;50;Condicional;\w*\W*;;0;1;Se o campo 'code' vier selecionado com 'OUTROS' é obrigatório o preenchimento do additonalInfo
openBankingBrazil/<brand>/companies/businessCreditCards/interest/interestRates/fees/referentialRateOrIndexer;referentialRateOrIndexer;Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040 que incide sobre o parcelamento do saldo devedor;Texto;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
POS_FIXADO_TR_TBF
POS_FIXADO_TJLP
POS_FIXADO_LIBOR
POS_FIXADO_TLP
OUTRAS_TAXAS_POS_FIXADAS
FLUTUANTES_CDI
FLUTUANTES_SELIC
OUTRAS_TAXAS_FLUTUANTES
INDICES_PRECOS_IGPM
INDICES_PRECOS_IPCA
INDICES_PRECOS_IPCC
OUTROS_INDICES_PRECO
CREDITO_RURAL_TCR_PRE
CREDITO_RURAL_TCR_POS
CREDITO_RURAL_TRFC_PRE
CREDITO_RURAL_TRFC_POS
OUTROS_INDEXADORES";1;N;
openBankingBrazil/<brand>/companies/businessCreditCards/interest/interestRates/fees/rate;rate;"Percentual que incide sobre a composição das taxas de juros remuneratórios  sobre o parcelamento do saldo devedor
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;4;Obrigatório;"^[0-9](\.[0-9]{2})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 2 casas decimais, permitindo ser preenchida com NA";;1;N;
openBankingBrazil/<brand>/companies/businessCreditCards/interest/interestRates/prices/interval;interval;"Faixas para cobrança da taxa efetiva outras operações de crédito, no intervalo informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes
Segundo Normativa nº32 de 2020: 'Distribuição de frequência relativa dos valores de tarifas e taxas de juros cobrados dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas.";Texto;;Obrigatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/interestRates/prices/rate;rate;"Percentual que corresponde a mediana (taxa efetiva) aplicada para  outras operações de crédito, no período informado. p.ex. '4,10%'.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;4;4;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/interestRates/minimum/rate;rate;"Percentual mínimo cobrado (taxa efetiva) para  outras operações de crédito do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/interest/interestRates/maximum/rate;rate;"Percentual máximo cobrado (taxa efetiva) para  outras operações de crédito do mês de referência.
(A apuração deve pode ser feita com até 4 casas decimais. A representação de porcentagem p.ex: do 0.1500 representa 15%. Desta forma, o valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/termsConditions/minimumFeeRate;minimumFeeRate;"Percentual para pagamento mínimo sobre o saldo devedor da fatura. p.ex. '25,0000%'
(representação de uma porcentagem Ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;4;Obrigatório;"^[0-9](\.[0-9]{2})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 2 casas decimais, permitindo ser preenchida com NA";;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/termsConditions/additionalInfo;additionalInfo;Campo aberto para detalhamento de taxas de juros;Texto;500;Opcional;\w*\W*;;0;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/termsConditions/elegibilityCriteriaInfo;elegibilityCriteriaInfo;Informação sobre as condições e critérios de elegibilidade do emissor do cartão. Pode ser informada a URL referente ao endereço onde constam as condições informadas. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/businessCreditCards/termsConditions/closingProcessInfo;closingProcessInfo;Descrição dos procedimentos para encerramento da conta de pagamento pós paga. Pode ser informada a URL referente ao endereço onde constam as condições informadas. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Obrigatório;\w*\W*;;1;1;NA
