Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/priorityServices/chargingUnit;chargingUnit;Unidade ou forma de cobrança. p.ex.'Por evento', 'Por ano';Texto;50;Mandatório;\w*\W*;;1;N;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/name;name;"Nomes das Tarifas cobradas sobre Outros Serviços relacionados à Modalidade de Contas de Pagamento Pós-Pagas para pessoa física e que não estejam na resolução 3.919 do BACEN. p.ex. 'Cartão adicional'
Caso não haja outro serviço, que não os prioritários, a estrutura de dados de outros serviços pode vir vazia, mas deve retornar ao menos uma (Com indicador de Não se Aplica, caso não haja valor para preenchimento)";Texto;50;Mandatório;\w*\W*;;1;N;Com indicador de Não se Aplica, caso não haja valor para preenchimento;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/code;code;"Sigla de identificação de Outro Serviço relacionado à Modalidade informada de Contas de Pagamento Pós-Pagas para pessoa física e que não esteja, assim como o serviço, relacionada na resolução 3.919 do BACEN. p.ex. 'ANUIDADE DIFERENCIADA'
Caso não haja Outro Serviço, que não os prioritários, a estrutura de dados de Outros Serviços pode vir vazia, mas deve retornar ao menos uma ( (Com indicador de Não se Aplica, caso não haja valor para preenchimento)";Texto;30;Mandatório;\w*\W*;;1;N;Com indicador de Não se Aplica, caso não haja valor para preenchimento;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/chargingTriggerInfo;chargingTriggerInfo;"Fatos geradores de cobrança que incidem sobre as Modalidades de Contas de Pagamento Pós-Pagas para pessoa física e que não estejam relacionados a serviços previstos na resolução 3.919 do BACEN. 
Caso não haja Outro Serviço, que não os prioritários, a estrutura de dados de Outros Serviços pode vir vazia, mas deve retornar ao menos uma  (Com indicador de Não se Aplica, caso não haja valor para preenchimento)";Texto;300;Mandatório;\w*\W*;;1;N;Com indicador de Não se Aplica, caso não haja valor para preenchimento;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/price/interval;interval;Faixas para cobrança de valores de tarifas para Outros Serviços informados:  1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;\w*\W*;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/price/value;value;Valor da mediana da tarifa cobrada referente aos Outros Serviços. p.ex.'30.00';Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;4;4;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/price/currency;currency;Moeda referente ao valor da mediana da tarifa de Outros Serviços, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);4;4;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/minimum/value;value;Valor mínimo cobrado para a tarifa de Outros Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/maximum/value;value;Valor máximo cobrado para a tarifa de Outros Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/maximum/currency;currency;Moeda referente ao valor máximo da tarifa de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/additionalInfo;additionalInfo;Descrição de como é composto o valor da tarifa. p.ex. ' 50% vlr. anuidade do cartão titular';Texto;80;Opcional;\w*\W*;;0;N;Este campo deve estar obrigatoriamente preenchido se não houver conteúdo para os itens: value, currency e type;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/otherServices/chargingUnit;chargingUnit;Unidade ou forma de cobrança. p.ex. 'Por ano';Texto;50;Mandatório;\w*\W*;;1;N;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/feeRate/price/interval;interval;Faixas para cobrança da taxa de utilização do crédito rotativo, no intervalo informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;\w*\W*;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/feeRate/price/rate;rate;"Percentual que corresponde a mediana da taxa aplicada para utilização de Crédito Rotativo, no intervalo informado. p.ex. '9,87%'
(representação de porcentagem p.ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1} ;;4;4;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/feeRate/minimumRate;minimumRate;"Percentual mínimo cobrado para a taxa do crédito rotativo no mês de referência
(representação de porcentagem p.ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1} ;;1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/feeRate/maximumRate;maximumRate;"Percentual máximo cobrado para a taxa do crédito rotativo no mês de referência
(representação de porcentagem p.ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1} ;;1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/instalmentRate/price/interval;interval;Faixas para cobrança da taxa aplicada quando há parcelamento do saldo devedor: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;\w*\W*;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/instalmentRate/price/rate;rate;"Percentual que corresponde a taxa mediana aplicada para pagamento parcelado do saldo devedor quando não realizado pagamento integral da fatura, no período informado. p.ex. '4,10%'.
(representação de uma porcentagem Ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1} ;;4;4;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/instalmentRate/minimumRate;minimumRate;"Percentual mínimo cobrado para o pagamento parcelado do saldo devedor na fatura do mês de referência.
(representação de uma porcentagem Ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1} ;;1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/instalmentRate/maximumRate;maximumRate;"Percentual máximo cobrado para o pagamento parcelado do saldo devedor na fatura do mês de referência.
(representação de uma porcentagem Ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1} ;;1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/code;code;Lista de outras operações de crédito. p.ex. 'saque a crédito';Texto;30;Mandatório;\w*\W*;" 'Saque a crédito'
'Pagamento de contas'
'Outros'";1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/interestRates/additionalInfo;additionalInfo;Campo Texto para descrever outras operações de crédito marcadas como 'Outros';Texto;50;Opcional;\w*\W*;;0;1;Se o campo 'code' vier selecionado com 'Outros' é obrigatório o preenchimento do additonalInfo;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/minimumFeeRate;minimumFeeRate;"Percentual para pagamento mínimo sobre o saldo devedor da fatura. p.ex. '25,00%'
(representação de uma porcentagem Ex: 0.15. Este valor representa 15%. O valor 1 representa 100%)";Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/additionalInfo;additionalInfo;Campo aberto para detalhamento de taxas de juros;Texto;500;Opcional;\w*\W*;;0;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/elegibilityCriteriaInfo;elegibilityCriteriaInfo;Informação sobre as condições e critérios de elegibilidade do emissor do cartão. Pode ser informada a URL referente ao endereço onde constam as condições informadas. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Mandatório;\w*\W*;;1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/personalCreditCards/termsConditions/closingProcessInfo;closingProcessInfo;Descrição dos procedimentos para encerramento da conta pós paga. Pode ser informada a URL referente ao endereço onde constam as condições informadas. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Mandatório;\w*\W*;;1;1;N/A;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
