Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;1;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/minimum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/maximum/value;value;Valor máximo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^(\d{1,9}\.\d{2}){1}$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/maximum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);1;1;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangeAccountOverdraft/fee/service/customers/frequency;frequency;Segundo Normativa nº 32, BCB,  de 2020: Distribuição de frequência relativa aos clientes que pagaram valores de tarifas , de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas. Informando:1ª faixa de cliente, 2ª faixa de cliente, 3ª faixa de cliente e 4ª faixa de cliente;Texto;;Obrigatório;;"1_FAIXA_CLIENTE
2_FAIXA_CLIENTE
3_FAIXA_CLIENTE
4_FAIXA_CLIENTE";4;4;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangeAccountOverdraft/fee/service/customers/rate;rate;"Percentual dos clientes de cada faixa relativa ao serviço ofertado, para pessoa natural informado no período, conforme Res nº32, BCB, 2020. p.ex. '0.1500'
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
";;4;4;A precisão da apuração pode prever até 4 casas decimais ;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/interestRate/fees/referentialRateIndexer;referentialRateIndexer;Tipos de taxas referenciais ou indexadores, conforme Anexo 5: Taxa referencial ou Indexador (Indx), do Documento 3040;Texto;;Obrigatório;;"SEM_INDEXADOR_TAXA
PRE_FIXADO
POS_FIXADO_TR_TBF
POS_FIXADO_TJLP
POS_FIXADO_LIBOR
POS_FIXADO_TLP
OUTRAS_TAXAS_POS_FIXADAS
FLUTUANTES_CDI
FLUTUANTES_SELIC
OUTRAS_TAXAS_FLUTUANTES
INDICES_PRECOS_IGPM
INDICES_PRECOS_IPCA
INDICES_PRECOS_IPCC
OUTROS_INDICES_PRECO
CREDITO_RURAL_TCR_PRE
CREDITO_RURAL_TCR_POS
CREDITO_RURAL_TRFC_PRE
CREDITO_RURAL_TRFC_POS
OUTROS_INDEXADORES";1;19;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/interestRate/fees/rate;rate;"Percentual que incide sobre a composição das taxas de juros remuneratórios. 
(representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor '1 'representa 100%)
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;4;Obrigatório;"^[0-9](\.[0-9]{2})$
";;1;19;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/interestRate/applications/interval;interval;Faixas para cobrança da taxa efetiva aplicada pela contratação do crédito, no intervalo informado: 1ª faixa de valor, 2ª faixa de valor, 3ª faixa de valor e 4ª faixa de valor. Segundo Normativa nº32 de 2020: 'Distribuição de frequência relativa dos valores de tarifas e taxas de juros cobrados dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas. ;Texto;;Obrigatório;;"1_FAIXA_VALOR
2_FAIXA_VALOR
3_FAIXA_VALOR
4_FAIXA_VALOR";4;4;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/interestRate/applications/rate;rate;"Percentual que corresponde a mediana da taxa efetiva cobrada do cliente pela contratação do crédito, no intervalo informado. p.ex. '0,8700%'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
";;4;4;A precisão da apuração pode prever até 4 casas decimais ;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/interestRate/minimumRate;minimumRate;"Percentual mínimo cobrado (taxa efetiva) no mês de referência, para o crédito contratado 
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
";;1;1;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/interestRate/maximumRate;maximumRate;"Percentual máximo cobrado (taxa efetiva) no mês de referência, para o crédito contratado 
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
Corrigir: deve trazer formato decimal: 1 casa antes do ponto e 4 casas decimais, permitindo ser preenchida com NA";;1;1;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/interestRate/costumers/frequency;frequency;Segundo Normativa nº 32, BCB, de 2020: Distribuição de frequência relativa aos clientes que contrataram crédito no mês de apuração de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana e o percentual de clientes em cada uma dessas faixas. Informando:1ª faixa de cliente, 2ª faixa de cliente, 3ª faixa de cliente e 4ª faixa de cliente;Texto;;Obrigatório;;"1_FAIXA_CLIENTE
2_FAIXA_CLIENTE
3_FAIXA_CLIENTE
4_FAIXA_CLIENTE";4;4;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/interestRate/costumers/rate;rate;"Percentual que corresponde a mediana clientes pela contratação do Financiamento, no intervalo informado. p.ex. '0,8700'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;6;Obrigatório;"^[0-9](\.[0-9]{4})$
";;4;4;A precisão da apuração pode prever até 4 casas decimais ;;
openBankingBrazil/<brand>/companies/'Massa-PF'!H4:X4termsConditions;termsConditions;Campo aberto para informar as condições contratuais relativas à Modalidade de Adiantamento a depositante para pessoa natural. Pode ser informada a URL referente ao endereço onde constam as condições informadas. Endereço eletrônico de acesso ao canal. ;Texto;2000;Obrigatório;\w*\W*;;1;N;NA;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
