4;"29533208100122953320866597501618419473449
";2020-04-19T08:30:00Z';Desconto Duplicatas;DIREITOS_CREDITORIOS_DESCONTADOS;CHEQUE_ESPECIAL;2020-04-19T08:30:00Z';2020-04-29T08:30:00Z';300000.00';BRL';2030-04-29T08:30:00Z';BIMESTRAL;2020-05-29';150';108';0.3000';SAC ;EFETIVA;COMPOSTO;AA'; 1.21/25;POS_FIXADO;TLP; ;0.6000';0.5500'; ;IMPOSTO_SOBRE_OPERACOES_FINANCEIRAS;IOF;POR_PARCELA;PERCENTUAL_CARDINALIDADE_1_N; ;0.0500';IOF_CONTRATACAO; ;0.0100'; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"37736815020323773681554178847302312895636
";2020-05-22T08:30:00Z';Outros Direitos Creditórios descontados ;EMPRESTIMO;CHEQUE_ESPECIAL;2015-05-22T08:30:00Z';2015-05-29T08:30:00Z';190800.00';BRL';2025-05-29T08:30:00Z';TRIMESTRAL;2015-06-29';120';60';0.1700';PRICE;EFETIVA;SIMPLES;AM';2.30/360;FLUTUANTES;CDI; ;0.0100';0.0800'; ;TARIFA_MENSAL;TRF ;ÚNICA;MINIMO;50.00; ;JUROS_MORA_ATRASO; ;0.0500'; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"30688095100223068809537093775700678433123
";2020-06-27T08:30:00Z';Capital de Giro Rotativo;EMPRESTIMO;HOME_EQUITY;2016-06-27T08:30:00Z';2016-06-30T08:30:00Z';26000.00';BRL';2026-06-30T08:30:00Z';SEMESTRAL;2016-07-30';130';73';0.1200';SAM;EFETIVA;COMPOSTO;AM';3.30/365;INDICES_PRECOS;IGPM; ;0.0100';0.0800'; ;IMPOSTO_SOBRE_OPERACOES_FINANCEIRAS;IOF;POR_PARCELA;MAXIMO ;50.00; ;JUROS_REMUNERATORIOS_POR_ATRASO; ;0.0800'; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"55327069088125532706944396385047137805072
";2020-08-25T08:30:00Z';Conta Garantida;EMPRESTIMO;DESCONTO_CHEQUES;2017-08-25T08:30:00Z';2017-08-31T08:30:00Z';100000.00';BRL';2027-08-31T08:30:00Z';ANUAL ;2017-09-31';60';10';0.1500';SAC ;EFETIVA;SIMPLES;AM'; 1.21/25;CREDITO_RURAL;TCR_PRE; ;0.0100';0.0800'; ;IMPOSTO_SOBRE_OPERACOES_FINANCEIRAS;IOF;ÚNICA;FIXO;50.00; ;MULTA_ATRASO_PAGAMENTO; ;0.0800'; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"72945462067227294546237774768949950764903
";2020-09-22T08:30:00Z';Home Equity;EMPRESTIMO;HOME_EQUITY;2018-09-22T08:30:00Z';2018-09-30T08:30:00Z';297720.00';BRL';2028-09-30T08:30:00Z';SEMANAL;2018-10-30';180';53';0.1600';PRICE;EFETIVA;COMPOSTO;AM';2.30/360;PRE_FIXADO;PRE_FIXADO; ;0.0100';0.0800'; ;IMPOSTO_SOBRE_OPERACOES_FINANCEIRAS;IOF;POR_PARCELA;PERCENTUAL_CARDINALIDADE_1_N; ;0.0500';JUROS_MORA_ATRASO; ;0.0400'; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;"69896889042626989688921265920293555744073
";2020-10-29T08:30:00Z';Fianciamento Aquisição Outros Bens;FINANCIAMENTOS;ANTECIPACAO_FATURA_CARTAO_CREDITO;2016-10-29T08:30:00Z';2016-11-05T08:30:00Z';300000.00';BRL';2026-11-05T08:30:00Z';QUINZENAL;2016-12-05';150';108';0.1000';SAM;EFETIVA;SIMPLES;AM';3.30/365;POS_FIXADO;TLP; ;0.0100';0.0800'; ;IMPOSTO_SOBRE_OPERACOES_FINANCEIRAS;IOF;ÚNICA;FIXO;50.00; ;IOF_CONTRATACAO; ;0.0800'; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"80057105029928005710538626527727064145553
";2020-11-11T08:30:00Z';Crédito Pessoal Consignado;EMPRESTIMO;INVESTIMENTO;2019-11-11T08:30:00Z';2019-11-21T08:30:00Z';190800.00';BRL';2029-11-21T08:30:00Z';MENSAL;2019-12-21';120';60';0.1200';SAC ;EFETIVA;COMPOSTO;AM';2.30/360;FLUTUANTES;CDI; ;0.0100';0.0800'; ;IMPOSTO_SOBRE_OPERACOES_FINANCEIRAS;IOF;POR_PARCELA;PERCENTUAL_CARDINALIDADE_1_N; ;0.0500';JUROS_REMUNERATORIOS_POR_ATRASO; ;0.2500'; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
