Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<Organisation>/companies/contractors/bankingAgents/postalAdress/buildingNumber;buildingNumber;O número especifica o imóvel. Ocorrem, raras vezes, de o imóvel não ter número. Para os logradouros sem numeração recomenda-se a utilização da sigla 's/n'.;Texto;6;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Organisation>/companies/contractors/bankingAgents/postalAdress/additionalInfo;additionalInfo;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir: 'Loja B', 'Fundos', 'Casa 2', 'Lote C';Texto;30;Opcional;\w*\W*;;1;1;N/A;
openBankingBrazil/<Organisation>/companies/contractors/bankingAgents/postalAdress/districtName;districtName;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. Exemplo: 'Paraíso';Texto;50;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Organisation>/companies/contractors/bankingAgents/postalAdress/townName;townName;"Localidade: O nome da localidade corresponde à designação da cidade ou município no qual o endereço está localizado. Ex. 'São Paulo'
";Texto;50;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Organisation>/companies/contractors/bankingAgents/postalAdress/countrySubDivision;countrySubDivision;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. Ex. 1-'AC'. São considerados apenas as siglas para os estados brasileiros.;Enum;2;Mandatório;;"1-'AC'; 2-'AL'; 3-'AM'; 4-'AP'; 5-'BA'; 6-'CE'; 7-'DF'; 8-'ES'; 9-'GO'; 10-'MA'; 11-'MG'; 12-'MS'; 13-'MT'; 14-'PA'; 15-'PB'; 16-'PE'; 17-'PI'; 18-'PR'; 19-'RJ'; 20-'RN'; 21-'RO'; 22-'RR'; 23-'RS'; 24-'SC'; 25-'SE'; 26-'SP'; 27-'TO'";1;1;N/A;
openBankingBrazil/<Organisation>/companies/contractors/bankingAgents/postalAdress/postCode;postCode;Código de Endereçamento Postal: Composto por um conjunto numérico de oito dígitos, o objetivo principal do CEP é orientar e acelerar o encaminhamento, o tratamento e a entrega de objetos postados nos Correios, por meio da sua atribuição a localidades, logradouros, unidades dos Correios, serviços, órgãos públicos, empresas e edifícios. Ex. '01311-000';Texto;9;Mandatório;^(\d{5})-(\d{3})$;;1;1;N/A;
openBankingBrazil/<Organisation>/companies/contractors/bankingAgents/service/codes;codes;"Enumeração de serviços prestados pelo Correspondente consultado, retornado em um array:
1 'Recepção e encaminhamento de propostas de abertura de contas'
2 'Realização de recebimentos, pagamentos e transferências eletrônicas'
3 'Recebimentos e pagamentos de qualquer natureza'
4 'Execução ativa e passiva de ordens de pagamento'
5 'Recepção e encaminhamento de propostas de operações de crédito e de arrendamento mercantil'
6 'Recebimento e pagamentos relacionados a letras de câmbio de aceite da instituição'
7 'Recepção e encaminhamento de propostas de fornecimento de cartões de crédito'
8 'Realização de operações de câmbio'";Enum;2;Mandatório;^\d{1,2}$;"1 'Recepção e encaminhamento de propostas de abertura de contas'
2 'Realização de recebimentos, pagamentos e transferências eletrônicas'
3 'Recebimentos e pagamentos de qualquer natureza'
4 'Execução ativa e passiva de ordens de pagamento'
5 'Recepção e encaminhamento de propostas de operações de crédito e de arrendamento mercantil'
6 'Recebimento e pagamentos relacionados a letras de câmbio de aceite da instituição'
7 'Recepção e encaminhamento de propostas de fornecimento de cartões de crédito'
8 'Realização de operações de câmbio'";1;8;N/A;
openBankingBrazil/<Organisation>/companies/contractors/bankingAgents/service/additionalInfo;additionalInfo;Campo de texto livre para descrever mais sobre os serviços;Texto;2000;Opcional;\w*\W*;;0;1;N/A;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
