Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/minimum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Mandatório;;moeda (ISO-4217);1;1;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/maximum/value;value;Valor máximo cobrado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/service/maximum/currency;currency;Moeda referente ao valor mínimo da Tarifa, segundo modelo ISO-4217. p.ex.'BRL' ;Texto;3;Mandatório;;moeda (ISO-4217);1;1;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRate/applications/interval;interval;Faixas para cobrança da taxa efetiva aplicada pela contratação dos Direitos Creditórios Descontados, no intervalo informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRate/applications/rate;rate;"Percentual que corresponde a mediana da taxa efetiva cobrada do cliente pela contratação dos Direitos Creditórios Descontados, no intervalo informado. p.ex. '9,8700%'
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;4;4;A precisão da apuração pode prever até 4 casas decimais ;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRate/minimumRate;minimumRate;"Percentual mínimo cobrado (taxa efetiva) no mês de referência, para os Direitos Creditórios Descontados contratado 
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/interestRate/maximumRate;maximumRate;"Percentual máximo cobrado (taxa efetiva) no mês de referência, para os Direitos Creditórios Descontados contratado 
A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, mesmo que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/requiredWarranties;requiredWarranties;"Relação de garantias exigidas, segundo documento 3040 do Bacen: 
-cessão de direitos creditórios: o cedente transfere ao credor/cessionário a titularidade de direitos creditórios, até a liquidação da dívida. O credor/cessionário passa a recebê-los diretamente dos devedores e credita o produto da operação para o cedente na operação que originou a cessão, até a sua liquidação 
-caução: garantia instituída sobre créditos do garantidor 

";Texto;;Mandatório;;"CESSAO_DIREITOS_CREDITORIOS
CAUCAO
PENHOR
ALIENACAO_FIDUCIARIA
HIPOTECA
OPERCAOES_GARANTIDAS_PELO_GOVERNO
OUTRAS_GARANTIAS_NAO_FIDEJUSSORIAS 
SEGUROS_ASSEMELHADOS
GARANTIA_FIDEJUSSORIA
BENS_ARRENDADOS
GARANTIAS_INTERNACIONAIS
OPERACOES_GARANTIDAS_OUTRAS_ENTIDADES
ACORDOS_COMPENSACAO
NAO_APLICAVEL
";1;14;NA;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/termsConditions;termsConditions;Campo aberto para informar as condições contratuais relativas à Modalidade de Direitos Creditórios Descontados para pessoa física informada. Pode ser informada a URL referente ao endereço onde constam as condições informadas. Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Opcional;\w*\W*;;0;N;NA;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
