Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/companies/branches/postalAddress/buildingNumber;buildingNumber;O número especifica o imóvel. Ocorrem, raras vezes, de o imóvel não ter número. Para os logradouros sem numeração recomenda-se a utilização da sigla 's/n'.;Texto;6;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/additionalInfo;additionalInfo;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir: 'Loja B', 'Fundos', 'Casa 2', 'Lote C';Texto;30;Opcional;\w*\W*;;0;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/districtName;districtName;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. p.ex: 'Paraíso';Texto;50;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/townName;townName;"Localidade: O nome da localidade corresponde à designação
da cidade ou município no qual o endereço está localizado. p.ex. 'São Paulo'
";Texto;50;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/countrySubDivision;countrySubDivision;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. p.ex. 'AC'. São consideradas apenas as siglas para os estados brasileiros;Texto;2;Mandatório;\W*;"AC'; 'AL'; 'AM'; 'AP'; 'BA'; 'CE'; 'DF'; 'ES'; 'GO'; 'MA'; 'MG'; 'MS'; 'MT'; 'PA'; 'PB'; 'PE'; 'PI'; 'PR'; 'RJ'; 'RN'; 'RO'; 'RR'; 'RS'; 'SC'; 'SE'; 'SP'; 'TO'";1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/postCode;postCode;Código de Endereçamento Postal: Composto por um conjunto numérico de oito dígitos, o objetivo principal do CEP é orientar e acelerar o encaminhamento, o tratamento e a entrega de objetos postados nos Correios, por meio da sua atribuição a localidades, logradouros, unidades dos Correios, serviços, órgãos públicos, empresas e edifícios. p.ex. '01311-000';"Texto
";9;Mandatório;(\d{5})-(\d{3});;1;1;N/A
openBankingBrazil/<brand>/companies/branches/availability/standard/weekday;weekday;Em formato texto, seguindo o domínio apresentado, devem ser colocados os dias da semana;Texto;13;Mandatório;(Domingo)|(Segunda-feira)|(Terça-feira)|(Quarta-feira)|(Quinta-feira)|(Sexta-feira)|(Sábado);"Domingo
Segunda-Feira
Terça-Feira
Quarta-Feira
Quinta-Feira
Sexta-Feira
Sábado";1;1;N/A
openBankingBrazil/<brand>/companies/branches/availability/standard/openingTime;openingTime;"Horário padrão de início de atendimento da Dependência.
O horário deve estar no formato UTC (10:00:00+0000).
(Horário no formato RFC-3339 com deslocamento baseado no UTC
p.ex: 12:00:00+00:00 (Como no Brasil nós estamos em GMT-3, a hora ao lado representa 09:00h, ou deveria ser informada como 09:00:00-03:00))";Texto;13;Mandatório;^([0|1|2]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1})\+([0-9]{4})$;;1;1;Preenchimento com horário universal (em UTC)
openBankingBrazil/<brand>/companies/branches/availability/standard/closingTime;closingTime;"Horário padrão de encerramento de atendimento da Dependência.
O horário deve estar no formato UTC (16:00:00+0000).
(Horário no formato RFC-3339 com deslocamento baseado no UTC
p.ex: 12:00:00+00:00 (Como no Brasil nós estamos em GMT-3, a hora ao lado representa 09:00h, ou deveria ser informada como 09:00:00-03:00))";Texto;13;Mandatório;^([0|1|2]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1})\+([0-9]{4})$;;1;1;Preenchimento com horário universal (em UTC)
openBankingBrazil/<brand>/companies/branches/availability/exceptionAvailability;exceptionAvailability;Em campo texto devem ser registradas todas as Exceções para o não atendimento. p.ex. 'Exceto feriados municipais, nacionais e estaduais.;Texto;2000;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/availability/allowPublicAccess;allowPublicAccess;Indica se a dependência tem acesso restrito a clientes, por exemplo, uma agência dentro de uma empresa que só atenda aos clientes daquela empresa, ou acesso irrestrito, atendendo ao público em geral. p.ex. 'Falso' (restrito) ;Booleano;10;Mandatório;^\[0-1]{1}$;" 'Falso'
'Verdadeiro'";1;1;N/A
openBankingBrazil/<brand>/companies/branches/availability/phones/type;type;Identificação do Tipo de telefone da dependência. p.ex.Fixo, Móvel;Texto;10;Mandatório;^([0-9]{1})$;" 'Fixo'
'Móvel'";0;N;"Com indicador de Não se Aplica, caso não haja valor para preenchimento.
Se houver um número de telefone obrigatoriamente devemos ter seu tipo identificado"
openBankingBrazil/<brand>/companies/branches/availability/phones/countryCode;countryCode;Número de DDI (Discagem Direta Internacional) para  telefone de acesso ao Canal - se houver. p.ex. '55';Texto;2;Mandatório;^\d{2}$;;1;N;Com indicador de Não se Aplica, caso não haja valor para preenchimento
openBankingBrazil/<brand>/companies/branches/availability/phones/areaCode;areaCode;Número de DDD (Discagem Direta à Distância) do telefone da dependência - se houver. p.ex. '19';Texto;2;Mandatório;^\d{2}$;;1;N;Com indicador de Não se Aplica, caso não haja valor para preenchimento
openBankingBrazil/<brand>/companies/branches/availability/phones/number;number;Número de telefone da dependência - se houver;Texto;10;Mandatório;([0-9]{4,5})-([0-9]{4});;0;N;Com indicador de Não se Aplica, caso não haja valor para preenchimento
openBankingBrazil/<brand>/companies/branches/service/codes;codes;"Serviços prestados pela dependência consultada:
Abertura de contas
Recebimentos, pagamentos e transferências eletrônicas
Recebimentos e pagamentos de qualquer natureza
Operações de crédito
Cartão de crédito
Operações de câmbio
Investimentos
Seguros
Outros
Atendimento as demandas de cliente como:
Reclamação
Cancelamento
Informações
Falar com atendente";Texto;100;Mandatório;\W*;" 'Abertura de contas'
'Recebimentos, pagamentos e transferências eletrônicas'
'Recebimentos e pagamentos de qualquer natureza'
'Operações de crédito'
'Cartão de crédito'
'Operações de câmbio'
'Investimentos'
'Seguros'
'Reclamação'
'Cancelamento'
'Informações'
'Falar com atendente'
'Outros'";1;9;N/A
openBankingBrazil/<brand>/companies/branches/service/additionalInfo;additionalInfo;Campo de texto livre para descrever mais sobre os serviços;Texto;2000;Opcional;\w*\W*;;0;1;N/A
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
