Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;;;;
;;;;;;;;;;;;;;;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/postalAdress/additionalInfo;additionalInfo;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir: 'Loja B', 'Fundos', 'Casa 2', 'Lote C';Texto;30;Opcional;\w*\W*;;0;1;N/A;;;;;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/postalAdress/districtName;districtName;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. p.ex.: 'Paraíso';Texto;50;Mandatório;\w*\W*;;1;1;N/A;;;;;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/postalAdress/townName;townName;"Localidade: O nome da localidade corresponde à designação da cidade ou município no qual o endereço está localizado. p.ex. 'São Paulo'
";Texto;50;Mandatório;\w*\W*;;1;1;N/A;;;;;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/postalAdress/countrySubDivision;countrySubDivision;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. p.ex. 'AC'. São consideradas apenas as siglas para os estados brasileiros;Texto;2;Mandatório;\W*;" 'AC'; 'AL'; 'AM'; 'AP'; 'BA'; 'CE'; 'DF'; 'ES'; 'GO'; 'MA'; 'MG'; 'MS'; 'MT'; 'PA'; 'PB'; 'PE'; 'PI'; 'PR'; 'RJ'; 'RN'; 'RO'; 'RR'; 'RS'; 'SC'; 'SE'; 'SP'; 'TO'";1;1;N/A;;;;;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/postalAdress/postCode;postCode;Código de Endereçamento Postal: Composto por um conjunto numérico de oito dígitos, o objetivo principal do CEP é orientar e acelerar o encaminhamento, o tratamento e a entrega de objetos postados nos Correios, por meio da sua atribuição a localidades, logradouros, unidades dos Correios, serviços, órgãos públicos, empresas e edifícios. p.ex. '01311-000';Texto;9;Mandatório;^(\d{5})-(\d{3})$;;1;1;N/A;;;;;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/service/codes;codes;"Enumeração de serviços prestados pelo Correspondente consultado, retornado em um array:
'Recepção e encaminhamento de propostas de abertura de contas'
'Realização de recebimentos, pagamentos e transferências eletrônicas'
'Recebimentos e pagamentos de qualquer natureza'
'Execução ativa e passiva de ordens de pagamento'
'Recepção e encaminhamento de propostas de operações de crédito e de arrendamento mercantil'
'Recebimento e pagamentos relacionados a letras de câmbio de aceite da instituição'
'Recepção e encaminhamento de propostas de fornecimento de cartões de crédito'
'Realização de operações de câmbio'";Texto;100;Mandatório;\W*;"Recepção e encaminhamento de propostas de abertura de contas'
'Realização de recebimentos, pagamentos e transferências eletrônicas'
'Recebimentos e pagamentos de qualquer natureza'
'Execução ativa e passiva de ordens de pagamento'
'Recepção e encaminhamento de propostas de operações de crédito e de arrendamento mercantil'
'Recebimento e pagamentos relacionados a letras de câmbio de aceite da instituição'
'Recepção e encaminhamento de propostas de fornecimento de cartões de crédito'
'Realização de operações de câmbio'";1;8;N/A;;;;;
openBankingBrazil/<brand>/companies/contractors/bankingAgents/service/additionalInfo;additionalInfo;Campo de texto livre para descrever mais sobre os serviços;Texto;2000;Opcional;\w*\W*;;0;1;N/A;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
