Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/eventLimitQuantity;eventLimitQuantity;"Quantidade de eventos previstos no Pacote de Serviços (Número de eventos incluídos no mês) p.ex.'2'.
No caso de quantidade ilimitada, reportar 999999";Texto;6;Mandatório;^(\d{1,6}){1}$;;1;N;No caso de quantidade ilimitada, reportar 999999;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/freeEventQuantity;freeEventQuantity;"Quantidade de eventos previstos no Pacote de Serviços com isenção de Tarifa.p.ex.'1'
No caso de quantidade ilimitada, reportar 999999";Texto;6;Mandatório;^(\d{1,6}){1}$;;1;N;No caso de quantidade ilimitada, reportar 999999;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/prices/interval;interval;Faixas de valor referentes ao pagamento mensal do Pacote de Serviços informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/prices/monthlyFee;monthlyFee;Valor da mediana da tarifa mensal referente ao Pacote de Serviços. p.ex. '130.00' (representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '. '  (ponto) para indicar a casa decimal. Não deve haver separador de milhar);Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;4;4;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/prices/currency;currency;Moeda referente ao valor da mediana da tarifa mensal do Pacote de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;;Mandatório;;moeda (ISO-4217);4;4;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/minimum/value;value;Valor  mensal mínimo cobrado referente ao Pacote de Serviços no mês de referência;Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa de Pacote de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;;Mandatório;BRL;moeda (ISO-4217);1;1;;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/maximum/value;value;Valor  mensal máximo cobrado referente ao Pacote de Serviços no mês de referência;Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/maximum/currency;currency;Moeda referente ao valor máximo da tarifa do Pacote de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;;Mandatório;BRL;moeda (ISO-4217);1;1;;;
openBankingBrazil/<brand>/companies/businessAccounts/openingClosingChannels ;openingClosingChannels ;Canais disponíveis para abertura e encerramento de contas, p.ex. 'dependências próprias';Texto;;Mandatório;;"DEPENDENCIAS_PROPRIAS
CORRESPONDENTES_BANCARIOS
INTERNET_BANKING
MOBILE_BANKING
CENTRAL_TELEFONICA
CHAT
OUTROS";1;7;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/additionalInfo;additionalInfo;Texto livre para complementar informação relativa ao Canal disponível, quando no campo 'openingClosingChannels' estiver preenchida a opção 'Outros';Texto;100;Opcional;\w*\W*;;0;1;Campo de preenchimento obrigatório se 'openingCloseChannels' estiver preenchida a opção 'Outros';;
openBankingBrazil/<brand>/companies/businessAccounts/transactionMethods  ;transactionMethods  ;Lista de formas de movimentação possíveis para a conta, p.ex. 'MOVIMENTACAO_CARTÃO'.;Texto;;Mandatório;;"MOVIMENTACAO_ELETRONICA 
MOVIMENTACAO_CHEQUE 
MOVIMENTACAO_CARTAO 
MOVIMENTACAO_PRESENCIAL";1;4;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/minimumBalance/value;value;Saldo mínimo exigido nos Termos e condições contratuais, que regem as contas comercializadas. p.ex. '200.00';Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/minimumBalance/currency;currency;Moeda referente ao saldo mínimo exigido, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;;Mandatório;BRL;moeda (ISO-4217);1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/elegibilityCriteriaInfo;elegibilityCriteriaInfo;Critérios de qualificação do cliente com a finalidade de definir sua elegibilidade para a aquisição do tipo de conta. Possibilidade de inscrição da URL. Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;1024;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/termsConditions/closingProcessInfo;closingProcessInfo;Procedimentos de encerramento para o tipo de conta tratado. Possibilidade de inscrição da URL. Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRates/savingAccount;savingAccount;Descrição da Remuneração especificamente para Conta de Poupança. Deve ser preenchido com a determinação legal vigente. p.ex. '70% da Taxa Selic (6,5%) = 4,55%, que é o atual rendimento anual da poupança. O rendimento mensal é de 0,3715';Texto;2000;Mandatório;\w*\W*;;0;1;De preenchimento obrigatório para CONTA_POUPANCA. Para os demais Tipos  preencher com NA;;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRates/prepaidPaymentAccount/application/interval;interval;Faixas do percentual de taxa de remuneração efetivamente aplicada no intervalo informado para Contas do Tipo CONTA_PAGAMENTO_PRE_PAGA :1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;De preenchimento obrigatório para Conta do Tipo CONTA_PAGAMENTO_PRE_PAGA. Para os demais Tipos preencher com NA;;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRates/prepaidPaymentAccount/application/rate;rate;"Percentual que corresponde a taxa mediana de remuneração efetivamente aplicada no intervalo informado para CONTA_PAGAMENTO_PRE_PAGA. A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, emso que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;4;4;De preenchimento obrigatório para Conta do Tipo CONTA_PAGAMENTO_PRE_PAGA. Para os demais Tipos preencher com NA;;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRates/prepaidPaymentAccount/minimumRate;minimumRate;"Percentual mínimo referente à taxa de remuneração efetivamente aplicada no mês de referência para CONTA_PAGAMENTO_PRE_PAGA. A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, emso que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;De preenchimento obrigatório para Conta do Tipo CONTA_PAGAMENTO_PRE_PAGA. Para os demais Tipos preencher com NA;;
openBankingBrazil/<brand>/companies/businessAccounts/incomeRates/prepaidPaymentAccount/maximumRate;maximumRate;"Percentual máximo referente à taxa de remuneração efetivamente aplicada no mês de referência para VCONTA_PAGAMENTO_PRE_PAGA. A apuração pode acontecer com até 4 casas decimais. O preenchimento deve respeitar as 4 casas decimais, emso que venham preenchidas com zeros
(representação de porcentagem p.ex: 0.1500. Este valor representa 15%. O valor 1 representa 100%)";Texto;9;Mandatório;((-?[1-9]?\d{1,4}){1}(\.\d{1,4}){1}|NA)$;;1;1;De preenchimento obrigatório para Conta do Tipo CONTA_PAGAMENTO_PRE_PAGA. Para os demais Tipos preencher com NA;;
;;;;;;;;;;;;
;;;;;;;;;;;;
