Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<Brand>/companies/branches/postalAddress/additionalInfo;additionalInfo;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir: 'Loja B', 'Fundos', 'Casa 2', 'Lote C';Texto;30;Opcional;\w*\W*;;0;1;N/A;
openBankingBrazil/<Brand>/companies/branches/postalAddress/districtName;districtName;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. Exemplo: 'Paraíso';Texto;50;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/postalAddress/townName;townName;"Localidade: O nome da localidade corresponde à designação
da cidade ou município no qual o endereço está localizado. Ex. 'São Paulo'
";Texto;50;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/postalAddress/countrySubDivision;countrySubDivision;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. Ex. 1-'AC'. São considerados apenas as siglas para os estados brasileiros.;Enum;2;Mandatório;^(\d{1})$;"1-'AC'; 2-'AL'; 3-'AM'; 4-'AP'; 5-'BA'; 6-'CE'; 7-'DF'; 8-'ES'; 9-'GO'; 10-'MA'; 11-'MG'; 12-'MS'; 13-'MT'; 14-'PA'; 15-'PB'; 16-'PE'; 17-'PI'; 18-'PR'; 19-'RJ'; 20-'RN'; 21-'RO'; 22-'RR'; 23-'RS'; 24-'SC'; 25-'SE'; 26-'SP'; 27-'TO'";1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/postalAddress/postCode;postCode;Código de Endereçamento Postal: Composto por um conjunto numérico de oito dígitos, o objetivo principal do CEP é orientar e acelerar o encaminhamento, o tratamento e a entrega de objetos postados nos Correios, por meio da sua atribuição a localidades, logradouros, unidades dos Correios, serviços, órgãos públicos, empresas e edifícios. Ex. '01311-000';"Texto
";9;Mandatório;(\d{5})-(\d{3});;1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/availability/standard/weekday;weekday;Em formato texto, seguindo o domínio apresentado, devem ser colocados os dias da semana.;Texto;13;Mandatório;(Domingo)|(Segunda-feira)|(Terça-feira)|(Quarta-feira)|(Quinta-feira)|(Sexta-feira)|(Sábado);"Segunda-Feira
Terça-Feira
Quarta-Feira
Quinta-Feira
Sexta-Feira";1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/availability/standard/openingTime;openingTime;"Horário padrão de início de atendimento da Dependência.
O horário deve estar no formato UTC (10:00:00+0000).";Texto;13;Mandatório;^([0|1|2]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1})\+([0-9]{4})$;;1;1;Preenchimento com horário universal (em UTC);
openBankingBrazil/<Brand>/companies/branches/availability/standard/closingTime;closingTime;"Horário padrão de encerramento de atendimento da Dependência.
O horário deve estar no formato UTC (16:00:00+0000).";Texto;13;Mandatório;^([0|1|2]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1}):([0|1|2|3|4|5]{1})([0-9]{1})\+([0-9]{4})$;;1;1;Preenchimento com horário universal (em UTC);
openBankingBrazil/<Brand>/companies/branches/availability/standard/exceptionAvailability;exceptionAvailability;Em campo texto devem ser registradas todas as Exceções para o não atendimento.  Ex. 'Exceto feriados municipais, nacionais e estaduais'.;Texto;2000;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/availability/standard/allowPublicAccess;allowPublicAccess;Indica se a dependência tem acesso restrito a clientes, por exemplo, uma agência dentro de uma empresa que só atenda aos clientes daquela empresa, ou acesso irrestrito, atendendo o público em geral.;Booleano;1;Mandatório;^\[0-1]{1}$;"0. Acesso Irrestrito
1. Acesso restrito";1;1;N/A;
openBankingBrazil/<Brand>/companies/branches/availability/phones/type;type;Identificação do Tipo de telefone da dependência. Ex. 1.Fixo, 2.Móvel;Enum;1;Opcional;^([0-9]{1})$;"1. 'Fixo'
2. 'Móvel""";0;N;Se houver um número de telefone obrigatoriamente devemos ter seu tipo identificado;
openBankingBrazil/<Brand>/companies/branches/availability/phones/areaCode;areaCode;"Número de DDD (Discagem Direta à Distância) do telefone da 
dependência - se houver. Ex. '19'";Texto;2;Opcional;^\d{2}$;;0;N;Se houver um número de telefone obrigatoriamente devemos ter um DDD;
openBankingBrazil/<Brand>/companies/branches/availability/phones/number;number;Número de telefone da dependência - se houver;Texto;10;Opcional;([0-9]{4,5})-([0-9]{4});;0;N;N/A;
openBankingBrazil/<Brand>/companies/branches/service/codes;codes;"Serviços prestados pela dependência consultada:
1. Abertura de contas
2.Recebimentos, pagamentos e transferências eletrônicas
3.Recebimentos e pagamentos de qualquer natureza
4.Operações de crédito
5.Cartão de crédito
6.Operações de câmbio
7.Investimentos
8.Seguros
";Enum;2;Mandatório;^\d{1,2}$;"1 'Abertura de contas'
2 'Recebimentos, pagamentos e transferências eletrônicas'
3 'Recebimentos e pagamentos de qualquer natureza'
4 'Operações de crédito'
5 'Cartão de crédito'
6 'Operações de câmbio'
7 'Investimentos'
8 'Seguros'";1;8;N/A;
openBankingBrazil/<Brand>/companies/branches/service/additionalInfo;additionalInfo;Campo de texto livre para descrever mais sobre os serviços;Texto;2000;Opcional;\w*\W*;;0;1;N/A;
;;;;;;;;;;;
