Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<brand>/companies/businessLoans/interestRates/indexer;indexer;Indexador é o termo utilizado para se referir aos índices usados como base para corrigir os valores monetários de um determinado ativo. No Brasil, os indexadores mais comuns são o IPCA, a taxa Selic e o CDI;texto;30;Opcional;\w*\W*;;0;n;;
openBankingBrazil/<brand>/companies/businessLoans/interestRates/prePostTax;prePostTax;Indicador de pré ou pós. A diferença básica é que, enquanto o prefixado apresenta rentabilidade definida, o pós-fixado acompanha algum indicador. Assim, quem investe no primeiro grupo sabe como será seu rendimento previamente, enquanto quem investe no segundo, só conhecerá os resultados na data de vencimento;Enum;1;Opcional;^(\d{1})$;"Pré 
Pós";0;n;;
openBankingBrazil/<brand>/companies/businessLoans/interestRates/frequency;frequency;Código que indica Frequência sobre a qual incide a Remuneração. P. ex. 'a.d.', 'a.m.', 'a.a.';Enum;4;Opcional;^(a\.[d,m,a]\.){1}$;"a.d.
a.m.
a.a.";0;n;;
openBankingBrazil/<brand>/companies/businessLoans/interestRates/incomeRateInfo;incomeRateInfo;Descrição da Remuneração relativa as taxas de juros remuneratórias sobre a modalidade de Empréstimo infomrada, para pessoa jurídica;Texto;2000;Opcional;\w*\W*;;0;n;;
openBankingBrazil/<brand>/companies/businessLoans/requiredWarranties;requiredWarranties;"Relação de garantias exigidas, segundo documento 3040 do Bacen: 
-cessão de direitos creditórios: o cedente transfere ao credor/cessionário a titularidade de direitos creditórios, até a liquidação da dívida. O credor/cessionário passa a recebê-los diretamente dos devedores e credita o produto da operação para o cedente na operação que originou a cessão, até a sua liquidação, 
-caução: garantia instituída sobre créditos do garantidor, 
-penhor: direito real que consiste na tradição de uma coisa móvel ou mobilizável, suscetível de alienação, realizada pelo devedor ou por terceiro ao credor, a fim de garantir o pagamento do débito, 
-alienação fiduciária: o cedente transfere ao credor/cessionário a titularidade de direitos creditórios, até a liquidação da dívida. O credor/cessionário passa a recebê-los diretamente dos devedores e credita o produto da operação para o cedente na operação que originou a cessão, até a sua liquidação , 
-hipoteca: direito real de garantia que afeta um bem imóvel para o cumprimento da obrigação, 
-operações garantidas pelo governo: nas instâncias federal, estadual ou municipal
-outras garantias não fidejussórias: as garantias reais não descritas como: cessão de direitos creditórios, caução, penhor, alienação fiduciária, hipoteca ou operação garantida pelo governo 
-seguros e assemelhados: os seguros (e assemelhados) contratados para garantir o pagamento da operação em circunstâncias adversas,
-garantia fidejussória: baseada na fidelidade do garantidor em cumprir as obrigações, caso o devedor não o faça
-bens arrendados: bem objeto do arrendamento financeiro
-garantias internacionais: declarar se a garantia é mitigadora ou não, observados os critérios definidos pela Circular 3.644, de 4 de março de 2013, 
-operações garantidas por outras entidade: declarar as garantias prestadas pelas entidades descritas no item 3. Informações de Garantias (i) do documento 3040 - Bacen, 
-acordos de compensação: operações que sejam abrangidas por
-acordos para a compensação e liquidação de obrigações no âmbito do SFN, nos termos da Resolução 3.263, de 24 de fevereiro de 2005, 
-não aplicável
";Enum;50;Mandatório;;"Cessão de direitos creditórios
Caução
Penhor
Alienação fiduciária
Hipoteca
Operações garantidas pelo governo
Outras garantias não fidejussórias
Seguros e assemelhados
Garantia fidejussória
Bens arrendados
Garantias internacionais
Operações garantidas por outras entidades
Acordos de compensação
Não aplicável";1;14;;
openBankingBrazil/<brand>/companies/businessLoans/termsConditions;termsConditions;Campo aberto para informar as condições contratuais relativas à Modalidade de Empréstimo para pessoa jurídica informada. Pode ser informada a URL referente ao endereço onde constam as condições informadas;Texto;2000;Opcional;\w*\W*;;0;n;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
